title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
HackLabs: Home,https://hacklabs.com/,,hacklabs,"['Level  3 / 54 Miller Street NORTH SYDNEY  NSW 2060 Australia', 'https://hacklabs.com/contact/']",None,"['+61 1300 031337', 'https://hacklabs.com/about/']","['discovered security vulnerabilities', 'known security vulnerabilities', 'security testing tools', 'typical security vulnerabilities', 'network security', 'web application penetration testing course', 'security testing', 'other network security controls', 'traditional security testing targets corporate networks', 'finds columns']","[['Chris Gatford', 'founder'], 'https://hacklabs.com/the-red-team']","['IT - Software, Mining, oil and gas', 'from_classification_model']",None,"['$57.69 million USD', 'https://www.dnb.com/business-directory/company-profiles.hacklabs_pty_ltd.73fd27fb6d259ce188f19c49e54d1d34.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.hacklabs_pty_ltd.73fd27fb6d259ce188f19c49e54d1d34.html']",0.25,0.25,0.375,0.0,0.21875
CSG: IT Managed Services and Office IT Solutions,https://www.csg.com.au/,"We are dedicated to providing the best managed print solutions and print financing options possible for our customers. For us  it’s all about you.
CSG is a wholly owned subsidiary of Fuji Xerox Asia Pacific Pte Ltd. ",csg,"['5218 SYDNEY NSW 2001', 'https://www.csg.com.au/legal-information/privacy']","['info@csg.com.au', 'https://www.crunchbase.com/organization/csg-limited']","['1800 985 445', 'https://www.csg.com.au/campaign/audit2020']","['business solutions', 'total business solutions', 'business solutions portfolio', 'business technology', 'business printing', 'new businesses', 'managed print solutions', 'business', 'small business technology', 'managed printing solutions']","[['Ken Sugiyama', 'Managing_Director'], 'https://www.csg.com.au/about-us/executive-team']","[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/csg-limited']","['1988', 'https://www.crunchbase.com/organization/csg-limited']","['$150.68 million USD', 'https://www.dnb.com/business-directory/company-profiles.csg_limited.b4d72cf596524d3bb7f99ee905749ff9.html']",None,"['Australia', 'https://opencorporates.com/companies/au/123989631']",None,"['Public', 'https://www.crunchbase.com/organization/csg-limited']",0.25,0.25,0.375,0.0,0.21875
Pin Payments: Accept card payments securely | Online ...,https://pinpayments.com/,Take card payments online for your business with Pin Payments. No merchant account required. Easy setup._Take card payments online for your business with Pin Payments. No merchant account required. Easy setup._Take card payments online for your business with Pin Payments. No merchant account required. Easy setup.,pinpayments,"['Level  4 , 147 Collins Street, Melbourne VIC 3000', 'https://pinpayments.com/terms/macquarie-bank']","['support@pinpayments.com', 'https://www.crunchbase.com/organization/pin-payments']","['1300 364 800', 'https://pinpayments.com/contact']","['payments integrate payment features', 'payment parameters pin payments', 'online card payments', 'credit card payments', 'payment card details', 'payment card data', 'live card payments', 'twd card payments', 'instant credit card payments', 'multicurrency credit card payments']","[['Grant Bissett', 'founder'], 'https://www.crunchbase.com/person/grant-bissett']","[['AccountingDeveloper APIsPayments'], 'https://www.crunchbase.com/organization/pin-payments']","['Nov 1, 2011', 'https://www.crunchbase.com/organization/pin-payments']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/pin-payments']",0.25,0.25,0.375,0.0,0.21875
CTRL Group: Agile and Tailored Cybersecurity Services,https://ctrlgroup.io/,info@ctrlgroup.io · Group CTRL. linkedIn. © 2019 CTRL Group. All rights reserved. SEO by SEO Melbourne. CONTACT US. close slider. Contact Us Slider.,ctrlgroup.io,"['U 9 L 1 677 Springvale Rd Mulgrave, VICTORIA, 3170 Australia', 'https://www.dnb.com/business-directory/company-profiles.ctrl_security_pty_ltd.21a4abd26dde927035a4b01e11998a8b.html']","['info@controlgroup.com', 'https://www.crunchbase.com/organization/control-group']","['+61 1300 287 528', 'https://ctrlgroup.io/']",None,"[['STEVE JAMES WILLIAMS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.ctrl_security_pty_ltd.21a4abd26dde927035a4b01e11998a8b.html']","[['Cloud ComputingConsultingInformation Technology'], 'https://www.crunchbase.com/organization/control-group']","['2001', 'https://www.crunchbase.com/organization/control-group']","['$1.26 million USD', 'https://www.dnb.com/business-directory/company-profiles.ctrl_security_pty_ltd.21a4abd26dde927035a4b01e11998a8b.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/control-group']",0.0,0.25,0.0,0.0,0.0625
FeeSynergy Australia & New Zealand | Debtor Management ...,https://feesynergy.com.au/,FeeSynergy is Australasia's leading provider of automated debtor management  payment gateway and fee finance solutions to the accounting and legal ...,feesynergy,"['Suite  3 , 990 Toorak Rd Camberwell VIC 3124', 'https://feesynergy.com.au/documents/direct-debit-request-service-agreement/']","['info@timelio.com.au', 'https://www.crunchbase.com/organization/timelio']","['+61 3 9822-1300', 'https://feesynergy.com.au/contact-us/']","['feesynergy firms', 'feesynergy clients', '100th feesynergy collect client', 'many accounting firms', 'other professional services firms', 'nz accounting firms', 'feesynergy collect debtor management platform', 'business advisory services', 'accounting services', 'other firms']","[['Malcolm Ebb', 'founder'], 'https://au.linkedin.com/in/malcolm-ebb-b432615']","[['Financial ServicesFinTechMarketplace'], 'https://www.crunchbase.com/organization/timelio']","['2014', 'https://www.crunchbase.com/organization/timelio']","['2.1M', 'https://app.avention.com/company/7786ed98-d7a6-3ab4-a4df-a5be3a6c4a24#report/company_summary']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/timelio']","['30', 'https://app.avention.com/company/7786ed98-d7a6-3ab4-a4df-a5be3a6c4a24#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/timelio']",0.25,0.25,0.375,0.0,0.21875
AP van den Berg: Cone Penetration Test equipment and ...,https://www.apvandenberg.com/,Cone Penetration Testing (CPTU) equipment for onshore  offshore & near shore soil investigation  that is what A.P. van den Berg designs and supplies.,apvandenberg,None,"['ngi@ngi.no', 'https://www.apvandenberg.com/nl/over-a-p-van-den-berg/samenwerkingsverbanden']",None,"['van de universiteit van', 'van de ontwikkeling van', 'de werkomstandigheden van de', 'eén van de voorwaarden van de nieuwe', 'de scope van de accreditatie van het kalibratielaboratorium', 'van a.p. van', 'van de bediening van spoorbruggen', 'lid van de raad van', 'van de', 'de afwikkeling van de orders']",None,"['Manufacturing, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
THREAT INTELLIGENCE | THE NEXT ERA IN SECURITY,https://www.threatintelligence.com/,,threatintelligence,"['11 York Street, Sydney NSW 2000', 'https://www.threatintelligence.com/contact-us/']","['info@threatintelligence.com', 'https://www.crunchbase.com/organization/threat-intelligence']","['1300 809 437', 'https://www.threatintelligence.com/']","['security breaches', 'application security', 'security teams', 'security experience', 'security controls', 'security budget', 'security flaws', 'security training', 'security architectures', 'security experts']","[['Ty Miller', 'CEO'], 'https://www.crunchbase.com/organization/threat-intelligence']","[['Cyber SecurityInformation TechnologySecurity'], 'https://www.crunchbase.com/organization/threat-intelligence']","['2015', 'https://www.crunchbase.com/organization/threat-intelligence']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/threat-intelligence']",0.25,0.25,0.75,0.0,0.3125
Blazeclan North America - The Leading Cloud Solutions ...,https://www.blazeclan.com/,Blazeclan is born-in-cloud  strategic partner of choice to organisations that want to deliver business excellence using cloud as a tool,blazeclan,"['Suite  30 , 401 Pacific Highway, Artarmon, NSW 2064 Australia', 'https://www.blazeclan.com/contact/']","['info@blazeclan.com', 'https://www.crunchbase.com/organization/blazeclan-technologies']","['+61 28068 1855', 'https://www.blazeclan.com/contact/']","['aws cloud services', 'aws cloud cost optimization', 'aws cloud environment', 'aws cloud cost optimization tools', 'aws cloud computing aws business essentials', 'aws cloud continuous logging', 'cloud native applications', 'cloud services', 'aws services', 'cloud based services']","[['Amit Bassi', 'CEO'], 'https://www.arnnet.com.au/article/627006/amit-bassi-brings-blazeclan-australia/']","[['Cloud ComputingCloud ManagementInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/blazeclan-technologies']","['Jun 1, 2011', 'https://www.crunchbase.com/organization/blazeclan-technologies']",None,None,"['Australia', 'https://opencorporates.com/companies/au/619364359']",None,"['Private', 'https://www.crunchbase.com/organization/blazeclan-technologies']",0.25,0.25,0.375,0.0,0.21875
Lonely Planet | Travel Guides & Travel Information - Lonely ...,https://www.lonelyplanet.com/,Love travel? Discover  plan and book your perfect trip with expert advice  travel guides  destination information and inspiration from Lonely Planet.,lonelyplanet,"['3 Barrack Street Jetty, Perth WA 6000', 'https://www.lonelyplanet.com/australia/western-australia/perth/activities']","['social@lonelyplanet.com', 'https://www.crunchbase.com/organization/lonely-planet']","['+61 3 8379 8000', 'https://www.crunchbase.com/organization/lonely-planet']","['royal national park watarrka national park', 'francois peron national park sydney', 'conway national park national anzac', 'noosa national park art gallery', 'booti national park shark bay', 'road national park', 'royal national park', 'kuranda rainforest tour bundjalung national park', 'litchfield national park boronia beach', 'south australia burleigh head national park sarapiqui river cruise']","[['Tony Wheeler', 'CEO'], 'https://en.wikipedia.org/wiki/Lonely_Planet']","[['PublishingTravel'], 'https://www.crunchbase.com/organization/lonely-planet']","['1972', 'https://www.crunchbase.com/organization/lonely-planet']","['$10.61 million USD', 'https://www.dnb.com/business-directory/company-profiles.lonely_planet_publications_pty_limited.b3bed1344197cc7a.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/lonely-planet']",0.25,0.0,0.25,0.0,0.125
Amazon Simple Storage Service endpoints and quotas - AWS ...,https://docs.aws.amazon.com/general/latest/gr/s3.html,s3-accesspoint.dualstack.ap-northeast-2.amazonaws.com**. ap-northeast-2  HTTP and HTTPS  Version 4 only. Asia Pacific (Singapore)  ap-southeast-1.,s3-ap-southeast-2.amazonaws,None,"['hello@coverhero.com.au', 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']",None,None,"['Hyacinthe HAMON', 'founder(s)', 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']","[['BlockchainFinanceFinTechInsuranceInsurTechMillennialsMobile Apps'], 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']","['Jun 5, 2017', 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']",None,"['Private', 'https://www.crunchbase.com/organization/coverhero/timeline/timeline']",0.0,0.0,0.0,0.0,0.0
