title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Coca-Cola Amatil | Home,https://www.ccamatil.com/au,Every day we create millions of moments of happiness and possibilities.,ccamatil,"['40 Mount Street North Sydney NSW 2060', 'https://www.ccamatil.com/au/Contact-us/Investor-Media-Contacts']","['nzl.coke@ccamatil.com', 'https://www.crunchbase.com/organization/coca-cola-amatil']","['+61 437 937 100', 'https://www.ccamatil.com/au/Contact-us/Investor-Media-Contacts']","['coca cola amatil', 'amatil new zealand', 'amatil', 'amatil x', 'amatil nz', 'coca-cola amatil new zealand', 'coca-cola amatil australia', 'amatil board', 'coca-cola amatil new zealand www.linkmarketservices.com', 'amatil enters']","[['Robert Priest', 'Managing_Director'], 'https://www.coca-colacompany.com/au/our-company/coca-cola-south-pacific-senior-leadership-team']","[['DeliveryFood and BeverageFood ProcessingManufacturing'], 'https://www.crunchbase.com/organization/coca-cola-amatil']","['1904', 'https://www.crunchbase.com/organization/coca-cola-amatil']","['$3.46 billion USD', 'https://www.dnb.com/business-directory/company-profiles.coca-cola_amatil_limited.05b07b9fe56071e9.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/46860']","['12,000', 'None']","['Public', 'https://www.crunchbase.com/organization/coca-cola-amatil']",0.75,0.25,0.0,0.0,0.25
NHP Electrical Engineering Products,http://www.nhp.com.au/,NHP – your local choice in specialist electrical and automation products  systems and solutions.,nhp,"['30/34 Day St N, Silverwater NSW 2128', ['NHP Electrical Engineering Products, address', 'knowledge_panel']]",None,"['1300 647 647', 'https://www.nhp.com.au/Catalogs/NHP_AU_Catalog/NHP_AU_Catalog-Categories/NHP_AU_Catalog-217585/NHP_AU_Catalog-796/NHP_AU_Catalog-1019']","['nhp nhp', 'field switching', 'power distribution', 'nhp supplier declaration', 'rockwell automation nhp', 'library power distribution', 'rccbs nl110s power distribution', 'switches field switching', 'sensing requirements', 'rcds signalling devices']","[['Stephen Coop', 'CEO'], 'https://www.theceomagazine.com/executive-interviews/engineering/stephen-coop/']","[['ElectronicsIndustrial AutomationManufacturing'], 'https://www.crunchbase.com/organization/nhp-electrical-engineering-products']","['Jan 1, 1968', 'https://www.crunchbase.com/organization/nhp-electrical-engineering-products']","['$132M', 'None']","['$0', 'None']","['Brunswick Victoria, AU', 'None']","['500', 'None']","['Private', 'https://www.crunchbase.com/organization/nhp-electrical-engineering-products']",0.0,0.25,0.375,0.0,0.15625
CarAdvice | Expert reviews_ Independent advice_ Videos and ...,https://www.caradvice.com.au/,Every new car. Every last detail. Australia&#039;s most comprehensive source of car reviews  car news  videos  comparisons  specifications and ratings.,caradvice,"['52 Victoria Street McMahons Point NSW 2060 Australia', 'https://www.caradvice.com.au/privacy-policy/']","['social@caradvice.com.au', 'https://www.crunchbase.com/organization/caradvice']","['1300 369 818', 'https://www.caradvice.com.au/advertise/']","['new cars', 'new car content', 'several new cars', 'hyundai cars', 'premium new car content', 'electric cars', 'small cars', 'road cars', 'other small cars', 'other cars']","[['Alex Parsons ', 'Chief Executive Officer_CarAdvice ...'], 'None']","[['AutomotiveConsumer ReviewsNews'], 'https://www.crunchbase.com/organization/caradvice']","['2006', 'https://www.crunchbase.com/organization/caradvice']","['$8.07 million USD', 'https://www.dnb.com/business-directory/company-profiles.caradvicecom_pty_limited.4bc612a995b16756c4ce9170ff838e2f.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/caradvice']",1.0,0.375,0.25,0.0,0.40625
IHG Hotels & Resorts - Book hotels online at over 5_500 hotels,https://www.ihg.com/hotels/us/en/reservation,,ihg,"['10 Byfield St, Macquarie Park, Sydney, NSW 2113 Australia', 'https://www.ihg.com/destinations/us/en/australia/sydney-hotels']","['info@expresschingford.co.uk', 'https://www.ihg.com/holidayinnexpress/hotels/ae/ar/london/loncf/hoteldetail']","['+61 2 9935 8371', 'https://www.ihg.com/content/us/en/customer-care/contact-us']","['mi holiday inn express hotels', 'holiday inn express london', 'holiday inn london', 'ihg holiday inn express', 'holiday inn shanghai hongqiao holiday', 'holiday inn express hotels', 'holiday inn express londen', 'holiday inn express londres', 'holiday inn express toronto', 'holiday inn express amsterdam hotels']","['Juan Trippe', 'founder(s)', 'https://www.crunchbase.com/organization/intercontinental-hotels-group']","[['HospitalityHotelLeisureTravel'], 'https://www.crunchbase.com/organization/intercontinental-hotels-group']","['2003', 'https://www.crunchbase.com/organization/intercontinental-hotels-group']",None,None,"['Australia', 'https://opencorporates.com/companies/au/008508398']",None,"['Public', 'https://www.crunchbase.com/organization/intercontinental-hotels-group']",0.25,0.25,0.0,0.0,0.125
Yahoo Finance – stock market live_ quotes_ business & finance ...,https://in.finance.yahoo.com/,At Yahoo Finance  you get free stock quotes  the latest news  portfolio management resources  international market data  social interaction and mortgage rates to help you manage your financial life.,in.finance.yahoo,None,"['press@researchandmarkets.com', 'https://in.finance.yahoo.com/news/india-must-remain-integral-part-133952336.html']",None,"['xrp inr', 'arnab other markets nikkei indian companies', 'global humanized mice model market', 'india', '%', 'private companies', 'xrp sales', 'bitcoin market', 'public financial companies', 'team india']","['Lianna Brinded', 'founder(s)', 'https://www.crunchbase.com/organization/yahoo-finance']","[['Media and EntertainmentNews'], 'https://www.crunchbase.com/organization/yahoo-finance']","['2011', 'https://www.crunchbase.com/organization/yahoo-finance']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/yahoo-finance']",0.0,0.0,0.0,0.0,0.0
HMI Technologies Intelligent Transport Systems,https://www.hmi.co.nz/en-nz/,At the forefront of the transport technology revolution  HMI Technologies is an end to end provider of Intelligent Transport Systems (ITS) solutions and dynamic variable message signs._Technology Investment Network (TIN) has named HMI Technologies as the winner of this year’s TIN Rocket Award which recognises the company that has gained the most places in the TIN200 rankings for the year. _The introduction of autonomous buses in Victoria is a step closer to becoming reality  following the successful completion of the state’s first trial of the technology.,hmitechnologies,"['HMI Technologies Ltd, 55 Ben Lomond Crescent, Pakuranga Heights, Auckland2010NZ', 'https://opencorporates.com/companies/nz/6447352']",None,"['+61 426 400 940', 'https://www.hmi.co.nz/en-nz/contact/australia']","['hmi technologies australia', 'intelligent transport systems hmi technologies', 'hmi technologies partners', 'hmi technologies nz', 'hmi technologies', 'hmi technologies limited', 'contact hmi technologies', 'hmi technologies r&d', 'autonomous vehicle technology', 'parent company hmi technologies']","[['Mohammed HIKMET', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']","['IT - Software, Manufacturing', 'from_classification_model']","['15 September 2017', 'https://opencorporates.com/companies/nz/6447352']","['$565,200 USD', 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/6447352']",None,"['Limited\xa0Company Parent', 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']",0.375,0.25,0.75,0.0,0.34375
Compare The Market | Compare Health Insurance_ Car ...,https://www.comparethemarket.com.au/,Compare the Market lets you compare 1 000+ products  100+ brands across 12+ categories - all in one place. We're here to help you find better deals.,comparethemarket,"['19 economic and health relief package unveiled. Government of Western Australia 2020', 'https://www.comparethemarket.com.au/news/covid-19-electricity-demand-in-australia-falls-but-slower-than-global-average/']","['support@comparethemarket.com', 'https://www.crunchbase.com/organization/compare-the-market-au']","['+61 431 511 362', 'https://www.comparethemarket.com.au/blog/health/three-quarters-dont-know-policy-close/']","['travel insurance policies', 'business travel insurance comprehensive pet insurance', 'health insurance policies', 'travel insurance compare energy prices', 'different travel insurance policies', 'available travel insurance policy', 'comprehensive travel insurance policies', 'domestic travel insurance policies', 'basic travel insurance policies', 'standard travel insurance policies']","[['Rob Clancy', 'CEO'], 'https://au.linkedin.com/in/rob-clancy-55930b37']","[['Financial ServicesInformation ServicesOnline Portals'], 'https://www.crunchbase.com/organization/compare-the-market-au']","['2012', 'https://www.crunchbase.com/organization/compare-the-market-au']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/compare-the-market-au']",0.25,0.25,0.0,0.0,0.125
City Beach Australia - Surf_ Skate_ Street & Fashion Clothing,https://www.citybeach.com.au/,City Beach has the latest surf  skate  street & fashion for women  men & kids. New styles of clothing  footwear  accessories added every day.,citybeach,"['LEVEL 23 239 GEORGE STREET BRISBANE CITY, QUEENSLAND, 4000 Australia', 'https://www.dnb.com/business-directory/company-profiles.city_beach_pe_co_pty_ltd.35e917731a45fcaf.html']","['hello@prezzee.com.au', 'https://www.crunchbase.com/organization/prezzee']","['+61290932777', 'https://www.crunchbase.com/organization/prezzee']",None,"[['Mel Hicks', 'Managing_Director'], 'https://www.zoominfo.com/p/Mel-Hicks/-1305505582']","[['E-CommerceGiftGift CardGift Exchange'], 'https://www.crunchbase.com/organization/prezzee']","['Nov 1, 2015', 'https://www.crunchbase.com/organization/prezzee']","['$2.40 million USD', 'https://www.dnb.com/business-directory/company-profiles.city_beach_pe_co_pty_ltd.35e917731a45fcaf.html']",None,"['Australia', 'https://opencorporates.com/companies/au/646271445']",None,"['Private', 'https://www.crunchbase.com/organization/prezzee']",0.0,0.0,0.25,0.0,0.0625
Q-Free | Prime Mover in Intelligent Transportation Systems,https://www.q-free.com/,Connecting people  data  and communities through sustainable intelligent transportation system solutions while creating safer and greener traffic networks.,q-free,"['7/107 MOUNT STREET NORTH SYDNEY, NEW SOUTH WALES, 2060 Australia', 'https://www.dnb.com/business-directory/company-profiles.q-free_australia_pty_limited.ae9781ac77dff8df8a61fe3d19b13d50.html']","['info@q-free.com', 'https://www.crunchbase.com/organization/q-free']","['+61-280202650', 'https://www.dnb.com/business-directory/company-profiles.q-free_australia_pty_limited.ae9781ac77dff8df8a61fe3d19b13d50.html']","['advanced traffic management systems', 'more traffic management solutions', 'traffic traffic volume', 'central traffic management systems', 'advanced central traffic management system', 'traffic control systems', 'traffic signal data', 'local traffic signal management', 'regional traffic signals management', 'traffic management software']","[['Øyvind Isaksen', 'CEO'], 'https://www.q-free.com/q-free-tag-contract-in-australia-16-mnok/']","[['Information TechnologyTransportation'], 'https://www.crunchbase.com/organization/q-free']","['1984', 'https://www.crunchbase.com/organization/q-free']","['$5.24 million USD', 'https://www.dnb.com/business-directory/company-profiles.q-free_australia_pty_limited.ae9781ac77dff8df8a61fe3d19b13d50.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/q-free']",0.0,0.0,0.0,0.0,0.0
PARK NOW Group: Homepage,https://parknowgroup.com/,,parknowgroup,None,"['tmilos@lightsaml.com', 'https://parknowgroup.com/third-party-licenses/']","['+642110-1301', 'https://parknowgroup.com/third-party-licenses/']","['parking solutions', 'free parking', 'cashless parking', 'digital parking services', 'mobile parking solutions', 'digital parking data', 'parking apps', 'digital parking', 'street parking', 'parking information']",None,"['IT - Software, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
ShareCafe: News_ discussion_ expert analysis and data on ...,https://www.sharecafe.com.au/,News  expert commentary  discussion  analysis and data on the ASX  Australian share market  economy  finance and international shares.,sharecafe,"['L 4 97-99 BATHURST ST SYDNEY, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.spring_fg_digital_pty_ltd.7596880fca03975265e0477b6f4d78c0.html']","['contact@sharecafe.com.au', 'https://www.sharecafe.com.au/contact/']",None,"['% year', 'us markets', 'global stock markets', 'stock markets', 'global oil markets', 'market share', 'new markets', 'oil markets', '%', 'global markets']","[['SHANE MICHAEL MURRAY', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.spring_fg_digital_pty_ltd.7596880fca03975265e0477b6f4d78c0.html']","['Finance and insurance, Real estate', 'from_classification_model']","['24 May 2010', 'https://opencorporates.com/companies/au/143840528']","['$846,967 USD', 'https://www.dnb.com/business-directory/company-profiles.spring_fg_digital_pty_ltd.7596880fca03975265e0477b6f4d78c0.html']",None,"['Australia', 'https://opencorporates.com/companies/au/143840528']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.spring_fg_digital_pty_ltd.7596880fca03975265e0477b6f4d78c0.html']",0.0,0.0,0.0,0.0,0.0
Bft Automation: Home_ Bulding and Urban Access Automation,https://www.bft-automation.com/,Bft develops innovative access automation systems for residential  commercial and urban settings and applications. More than 500 distributors in 120 countries. Visit the site!,bft-automation,"['29 BENTLEY STREET WETHERILL PARK, NEW SOUTH WALES, 2164 Australia', 'https://www.dnb.com/business-directory/company-profiles.bft_automation_australia_pty_limited.b670e92728f3a512.html']","['bftrussia@gmail.com', 'https://www.bft-automation.com/ru_AM/']","['1300 729 344', ['BFT Automation Australia, phone', 'knowledge_panel']]","['de registratie van de', 'van de kennisgeving van bft', 'de inhoud van de website', 'de surfervaring van de gebruiker', 'de hand van de bij', 'de locatie van de verwerker', 'cookie de análise de', 'de surfervaring van de gebruiker te verbeteren', 'aan de hand van de bij', 'de controladora de dados']","[['Daniele Dal Cengio', 'Managing_Director'], 'https://au.linkedin.com/in/daniele-dal-cengio-']","[['Industrial Automation'], 'https://www.crunchbase.com/organization/bft-spa']","['1981', 'https://www.crunchbase.com/organization/bft-spa']","['$4.05 million USD', 'https://www.dnb.com/business-directory/company-profiles.bft_automation_australia_pty_limited.b670e92728f3a512.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/4352259']",None,"['Private', 'https://www.crunchbase.com/organization/bft-spa']",0.375,0.375,0.5,0.0,0.3125
