title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Brand USA: Welcome,https://www.thebrandusa.com/,,thebrandusa,None,None,"['+6102) 9356 2945', ['Gate 7 PTY Ltd., phone', 'knowledge_panel']]","['usa brand usa', 'usa discovery program brand usa', 'brand usa u.s. travel', 'brand usa partners', 'brand usa websites', 'email brand usa', 'brand usa initiatives', 'brand usa video', 'brand usa speakers', 'service brand usa']",None,"['Education, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Accounting Software App Marketplace | Xero App Marketplace ...,https://apps.xero.com/,Small business accounting is made easy with these Xero accounting software connected apps. Customize your own online accounting solution. View the options here.,apps.xero,"['U1 6 Elizabeth St Melbourne, VICTORIA, 3000 Australia', 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']","['investors@xero.com', 'https://www.crunchbase.com/organization/xero']","['+61 8 9286 3911', 'https://apps.xero.com/au/function/payroll-hr/app/intertec-timepro']","['xero xero projects', 'xero xero expenses', 'xero xero hq', 'xero xero hq apps', 'xero businesses', 'xero invoices', 'xero apps', 'xero contacts', 'xero users', 'xero mailchimp']","[['ANDREW CRAIG WINKLER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']","[['AccountingBankingBillingCollaborationFinanceFinTechPersonal FinanceSaaSSoftware'], 'https://www.crunchbase.com/organization/xero']","['Jul 1, 2006', 'https://www.crunchbase.com/organization/xero']","['$474.91 million USD', 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/xero']",0.0,0.25,0.375,0.0,0.15625
Blancco: Complete Data Removal_ Data Erasure Software,https://www.blancco.com/,Blancco offers certified  secure data erasure software for a range of IT assets  including laptops  mobile devices  LUNs  virtual machines  files and more. Read more.,blancco,None,"['roy@returnhelper.com', 'https://www.crunchbase.com/organization/return-helper']",None,"['blancco data erasure solutions', 'other blancco data erasure solutions', 'device data erasure', 'data erasure processes', 'mobile data erasure', 'data erasure software', 'good data erasure', 'data storage devices', 'certifiable data erasure', 'numerous data erasure']","[['Matt Jones', 'CEO'], 'https://www.blancco.com/press-releases/blancco-technology-group-names-tech-industry-veteran-matt-jones-chief-executive-officer/']","[['E-CommerceLogisticsMachine LearningSupply Chain Management'], 'https://www.crunchbase.com/organization/return-helper']","['Oct 9, 2018', 'https://www.crunchbase.com/organization/return-helper']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/return-helper']",0.0,0.0,0.0,0.0,0.0
Adecco: Australia's Leading Recruitment Agency,https://www.adecco.com.au/,As the leading staffing and recruitment agency  we find jobs and careers for people every day  located in Sydney  Melbourne  Brisbane and across Australia.,adecco,"['L 16 28 Freshwater Pl Southbank, VICTORIA, 3006 Australia', 'https://www.dnb.com/business-directory/company-profiles.adecco_australia_pty_ltd.71bb989a63ad753aa1510b573ca3c96e.html']","['info@adecco.dk', 'https://www.crunchbase.com/organization/adecco-6ef9']","['+61-399542100', 'https://www.dnb.com/business-directory/company-profiles.adecco_australia_pty_ltd.71bb989a63ad753aa1510b573ca3c96e.html']","['job opportunities', 'job interviews', 'job role', 'new jobs', 'working time', 'new career opportunities', 'good job security', 'adecco work', 'working day', 'many job offers']","[['Rafael Moyano', 'CEO'], 'https://au.linkedin.com/in/rmoyano']","[['Human ResourcesRecruitingStaffing Agency'], 'https://www.crunchbase.com/organization/adecco-6ef9']","['Jan 1, 1997', 'https://www.crunchbase.com/organization/adecco-6ef9']","['$25M', 'None']","['$0', 'None']",None,"['120', 'None']","['Private', 'https://www.crunchbase.com/organization/adecco-6ef9']",0.0,0.0,0.375,0.0,0.09375
Broadspectrum - Jobs at Ventia,https://jobs.broadspectrum.com/,Apply online for jobs at Ventia: Technical Professional Jobs  Corporate Jobs  General Employment Jobs  Trade & Craft Jobs  Supervisory Trade & Craft Jobs  Graduate Jobs  Estimator  Scheduler  & Planners Jobs  Apprenticeship Jobs & more.,jobs.broadspectrum,"['10 )    Gladstone, QLD AU 4680', 'https://jobs.broadspectrum.com/go/Mining-&-Minerals-Jobs/8487200/']",None,"['+6127 5111 913', 'https://jobs.broadspectrum.com/services/rss/job/?locale=en_GB&keywords=(pukekohe%20auckland)']","['facilities management services', 'management services', 'defence service solutions', 'asset management solutions', 'project services', 'service delivery', 'support services', 'essential infrastructure services', 'services', 'essential services']","['Carlo Salteri', 'founder(s)', 'https://www.crunchbase.com/organization/transfield-services']","[['Construction'], 'https://www.crunchbase.com/organization/transfield-services']","['2001', 'https://www.crunchbase.com/organization/transfield-services']","['$1.81 billion USD', 'https://www.dnb.com/business-directory/company-profiles.broadspectrum_pty_ltd.ffe3593ac13c17305cca9790c165c1b0.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/860073']",None,"['Private', 'https://www.crunchbase.com/organization/transfield-services']",0.25,0.25,0.0,0.0,0.125
Homepage · AWX,https://www.awx.com.au/,Homepage,awx,"['06 8788 809   74A Vanguard Street Nelson South Nelson 7010', 'https://www.awx.com.au/']","['info@ansible.com', 'https://www.crunchbase.com/organization/ansible']","['+64 021 880 795', 'https://www.awx.com.au/contact-us/new-zealand/christchurch']","['role requirements experience', 'cold room working environment ability', 'long term roles', 'labour hire industries', 'support staff role', 'working hours', 'permanent roles', 'ongoing roles', 'various manufacturing roles', 'role']","[['Thomas Reardon ', 'Co_Founder and Director ...'], 'None']","[['Cloud ComputingEnterprise ApplicationsEnterprise SoftwareInternetSoftware'], 'https://www.crunchbase.com/organization/ansible']","['2013', 'https://www.crunchbase.com/organization/ansible']","['$215.29 million USD', 'https://www.dnb.com/business-directory/company-profiles.awx_pty_ltd.31d6d35564cbdbc222aed48bb290f27c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/612214141']",None,"['Private', 'https://www.crunchbase.com/organization/ansible']",0.25,0.25,0.25,0.0,0.1875
Sage,https://www.sage.com/,Sage Group. Choose your country or region. Australia · België · Botswana · Brasil · Canada · Deutschland · Dubai · España · France · Hong Kong · India ...,sage,"['L 11 Zenith Tower B 821 Pacific Hwy Chatswood, New South Wales, 2067 Australia', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['sales@sagetechnology.com.au', 'https://www.crunchbase.com/organization/sage-technology']","['+61-298844000', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['de planos de', 'de injeção de', 'de indicadores de', 'de sage', 'de sécurisation et d’optimisation de gestion de trésorerie', 'de la gestion de la', 'de medidas de eficiência', 'serviços de injeção de', 'de tomada de decisão', 'bénéficiez de services de']","[['John Maley ', 'Asia Pacific People Director_Sage'], 'None']","[['ConstructionProductivity ToolsSoftware'], 'https://www.crunchbase.com/organization/sage-technology']","['1990', 'https://www.crunchbase.com/organization/sage-technology']","['72M', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']",None,"[' Morwell, Victoria, Australia', 'https://www.crunchbase.com/organization/sage-technology']","['327', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/sage-technology']",0.0,0.0,0.25,0.0,0.0625
http://www.grect.com/ - Greek Orthodox Community of ... - Facebook,https://m.facebook.com/GreekOrthodoxCommunity/posts/2371803776196344,http://www.grect.com/,grect,"['1 .160,5 km · 87 Beulah Road Norwood, SA Australia', 'https://m.facebook.com/propheteliasnorwood/?refsrc=https%3A%2F%2Fm.facebook.com%2Fpropheteliasnorwood%2F&ref_component=mbasic_footer&_rdr']","['sa@google.com', 'https://m.facebook.com/story.php?story_fbid=3288375167839475&id=128865590457131&refid=17&_ft_=mf_story_key.3288375167839475%3Atop_level_post_id.3288375167839475%3Atl_objid.3288375167839475%3Acontent_owner_id_new.128865590457131%3Athrowback_story_fbid.3288375167839475%3Apage_id.128865590457131%3Aphoto_id.3288373057839686%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Aott.AX9ZtzIWBUadSWe1%3Apage_insights.%7B%22128865590457131%22%3A%7B%22page_id%22%3A128865590457131%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A128865590457131%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1591913109%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B3288375167839475%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A128865590457131%2C%22page_id%22%3A128865590457131%2C%22post_id%22%3A3288375167839475%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22299368976825646%22%3A%7B%22page_id%22%3A299368976825646%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A128865590457131%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22role%22%3A16%2C%22sl%22%3A4%7D%7D%3Athid.128865590457131%3A306061129499414%3A2%3A0%3A1609487999%3A-1517091957556824507&__tn__=%2AW-R']","['+61413002298', 'https://m.facebook.com/GoesGreekEvents/']","['christmas day', 'μνήμη του αγίου αρριανού του ηγεμόνος και', 'facebook christmas service mother', 'norwood greek festival', 'του αγίου', 'norwood greek festival germany rejects greece', 'greek herald', 'του αγίου σεβαστιανού', 'norwood greek festival germany rejects', 'του αγίου διονυσίου']",None,"['Agriculture, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
TPM Builders: Commercial and Industrial Construction,https://tpmbuilders.com.au/,TPM is a dynamic Queensland-based commercial and industrial construction firm delivering design and construct commercial projects at fixed prices. Our holistic development process ensures an optimal outcome every time.,tpmbuilders,"['2 /"",""name"":""EVERTON PARK QLD 4053', 'https://tpmbuilders.com.au/project/everton-park-qld-4053-townhouse-complex-2/']","['enquiries@mbansw.asn.au', 'https://www.crunchbase.com/organization/master-builders-association-new-south-wales']","['1300 22 46 36', 'https://tpmbuilders.com.au/mental-health-and-safety-in-construction-australia/']","['queensland government construction projects', 'construction construction outlook', 'new construction projects', 'construction projects', 'commercial construction projects', 'other commercial construction projects', 'queensland commercial construction companies', 'many construction projects', 'major construction projects', 'non-residential construction projects']","[['JOHN ARBANAS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.outback_camps_australia_pty_ltd.09c569ffca2623e736624886c7a60e0c.html']","[['AssociationConsultingGovernmentReal Estate'], 'https://www.crunchbase.com/organization/master-builders-association-new-south-wales']",None,"['$7.85 million USD', 'https://www.dnb.com/business-directory/company-profiles.outback_camps_australia_pty_ltd.09c569ffca2623e736624886c7a60e0c.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/master-builders-association-new-south-wales']",0.25,0.25,0.0,0.0,0.125
Trade Invoice,http://www.tradeinvoice.com/,Create professional looking quotes and invoices online. Send them by email or our automated postal service. Apply payments  track your expenses  easily manage your TAX / VAT / GST,tradeinvoice,"['11 , 339 Williamstown Rd, Port Melbourne VIC 3207', 'http://www.tradeinvoice.com/Contact.aspx']",None,"['+61 3 8683 0040', 'http://www.tradeinvoice.com/Contact.aspx']",None,"[['BRETT BURNELL', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_trade_invoice_unit_trust.8f6a89743b84bc8b8ed4894338059b2f.html']","['Finance and insurance, IT - Software', 'from_classification_model']",None,"['$145,811 USD', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_trade_invoice_unit_trust.8f6a89743b84bc8b8ed4894338059b2f.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_trade_invoice_unit_trust.8f6a89743b84bc8b8ed4894338059b2f.html']",0.25,0.25,0.0,0.0,0.125
