title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Vehicle Leasing | Car Lease | Lease Vehicles | FleetPartners NZ,https://www.fleetpartners.co.nz/,Innovative fleet management solutions. Focussed on improving efficiencies and reducing business costs. Find out more about vehicle leasing with FleetPartners.,fleetpartners,"['LEVEL 6 601 PACIFIC HIGHWAY ST LEONARDS, NEW SOUTH WALES, 2065 Australia', 'https://www.dnb.com/business-directory/company-profiles.fleet_partners_pty_limited.43dfaed0c9e1c6061d73dc02a4e9ecba.html']","['marketing@fleetpartners.co.nz', 'https://www.fleetpartners.co.nz/fleetpartners-community']","['+64 4 802 2730', 'https://www.fleetpartners.co.nz/contact-us?form=Promotions&promotion=EZYDRIVE']","['vehicle fleets', 'vehicle fleet management', 'vehicle fleet leasing', 'heavy vehicle fleets', 'fleetpartners vehicles', 'business vehicles', 'vehicles', 'company vehicles', 'vehicle maintenance', 'new vehicle']","[['Nick Johnson', 'CEO'], 'https://au.linkedin.com/in/nick-johnson-8b0533a']","['IT - Software, Transport', 'from_classification_model']","['27 August 2020', 'https://opencorporates.com/companies/au/643858584']","['$54.65 million USD', 'https://www.dnb.com/business-directory/company-profiles.fleet_partners_pty_limited.43dfaed0c9e1c6061d73dc02a4e9ecba.html']",None,"['Australia', 'https://opencorporates.com/companies/au/643858584']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.fleet_partners_pty_limited.43dfaed0c9e1c6061d73dc02a4e9ecba.html']",0.5,0.25,0.0,0.0,0.1875
Yusen Logistics,https://www.yusen-logistics.com/,,yusen-logistics,"['3 Davis Rd Wetherill Park, NEW SOUTH WALES, 2164 Australia', 'https://www.dnb.com/business-directory/company-profiles.yusen_logistics_(australia)_pty_ltd.5157f0c27c532a8a.html']","['roshan.perera@lk.yusen-logistics.com', 'https://www.yusen-logistics.com/en/south-asia/sri-lanka/project-cargo/en']","['+642-034-8285', 'https://www.yusen-logistics.com/en/south-asia/thailand/careers/en']","['asia yusen logistics', 'supply chain logistics service', 'yusen logistics thailand', 'yusen logistics vietnam', 'yusen logistics philippines', 'yusen logistics myanmar', 'yusen logistics australia', 'yusen logistics me', 'yusen logistics indonesia', 'yusen logistics pakistan']","[['Ian Pemberton', 'Managing_Director'], 'https://www.yusen-logistics.com/en/south-asia/australia/news/yusen-logistics-appoints-ian-pemberton-managing-director-australia/en']","['IT - Software, Finance and insurance', 'from_classification_model']","[' 1 April 2016', 'https://opencorporates.com/companies/nz/5934027']","['$4.2B', 'None']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5934027']","['24,457', 'None']","['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.yusen_logistics_(australia)_pty_ltd.5157f0c27c532a8a.html']",0.0,0.25,0.25,0.0,0.125
Fleet Management & Vehicle Tracking by Webfleet Solutions ...,https://www.webfleet.com/en_us/webfleet/,Find here your ✓Fleet Management and  ✓Vehicle Tracking Solutions in one. Direct insights by Webfleet Solutions. ➽ Read more!,webfleet,"['Locked Bag 777, North Ryde NSW 2113', ['Webfleet Solutions, address', 'knowledge_panel']]","['info@leadforensics.com', 'https://www.webfleet.com/en_us/webfleet/industries/towing-and-recovery/']","['+612 4527 9040', 'https://www.webfleet.com/it_it/webfleet/products/pro/2020/']","['de tempo de', 'la capacité de webfleet solutions de calculer', 'de arquivo ou de', 'de webfleet solutions', 'definições de perso\xadna\xadli\xadzação e de', 'la solution de gestion de', 'de géolo\xadca\xadli\xadsation de véhicules la', 'de dados de trânsito', 'productos de hardware direc\xadta\xadmente de webfleet solutions', 'la interfaz de usuario de webfleet']","[['Thomas Schmidt', 'CEO'], 'http://mhdsupplychain.com.au/2019/10/03/tomtom-telematics-to-operate-under-new-name/']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Track My Ride: Australia's Favourite GPS Tracking Since 2011,https://www.trackmyride.com.au/,Real-time GPS tracking for fleets  cars  motorcycles  caravans  trucks  boats and more! Australian owned  operated & designed since 2011. Live tracking  automatic alerts  reports  geozones and much more._GPS tracking for cars  motorcycles  caravans  trucks and more! Australian owned  operated & designed since 2011. Real-time tracking  automatic alerts  reports  geozones and much more.,trackmyride,"['1300 553 022 661 Waterdale Road Heidelberg West, Victoria 3081', 'https://www.trackmyride.com.au/']",None,"['1300 553 022', 'https://www.trackmyride.com.au/']","['vehicles', 'vehicle owner', 'ltd. customer support', 'ltd. hardware', 'trackmyride.com.au vehicle', 'trackmyride.com.au vehicle speeds', 'account information', 'ltd.', 'driver id', 'driver id keyfobs']","[['LEON EDWARD MULLER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.track_my_ride_pty_ltd.8e7de9a955226ec77830ca65c83dfb8f.html']","['Manufacturing, IT - Software', 'from_classification_model']",None,"['$2.62 million USD', 'https://www.dnb.com/business-directory/company-profiles.track_my_ride_pty_ltd.8e7de9a955226ec77830ca65c83dfb8f.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.track_my_ride_pty_ltd.8e7de9a955226ec77830ca65c83dfb8f.html']",0.625,0.25,0.0,0.0,0.21875
EROAD Fleet Management Solutions,https://www.eroad.com.au/,EROAD is a fully integrated technology  tolling and services provider. Join the fleet ... Our teams in Australia and New Zealand are here to help – Read More ...,eroad,"['260 Oteha Valley Road , Albany Auckland, 0632 New Zealand ', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']","['sales@eroad.co.nz', 'https://www.crunchbase.com/organization/eroad']","['+61 438 895 366', 'https://www.eroad.com.au/contact/']","['vehicle fleets', 'eroad study eroad', 'eroad guide eroad', 'efficient vehicle fleet management', 'commercial vehicle fleets', 'eroad fleet tracking', 'improved customer service eroad guide eroad', 'vehicle telematics', 'vehicle safety', 'eroad helping organisations']","[['Steven Newman', 'CEO'], 'https://www.eroad.co.nz/nz/why-eroad/our-story/']","[['Information ServicesInformation Technology'], 'https://www.crunchbase.com/organization/eroad']","['2000', 'https://www.crunchbase.com/organization/eroad']","['41M', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']",None,"[' North Shore, Auckland, New Zealand', 'https://www.crunchbase.com/organization/eroad']","['207', 'https://app.avention.com/company/e6316db4-81b6-3d92-b2c3-4eae38ff17ea#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/eroad']",0.0,0.25,0.375,0.0,0.15625
Global Positioning Specialists | Compare GPS Tracking ...,https://www.gps.com.au/,Discover expert advice  reviews and case studies and compare fleet management solutions for free. Find the perfect fleet management solution today.,gps,"['U 7 10B CHILDS ROAD CHIPPING NORTON, NEW SOUTH WALES, 2170 Australia', 'https://www.dnb.com/business-directory/company-profiles.netcorp_gps_pty_limited.1db8b4adbec87f7a98d7bb177d7007fe.html']","['nfo@gps.com.au', 'https://www.gps.com.au/']","['+61-1300722127', 'https://www.dnb.com/business-directory/company-profiles.netcorp_gps_pty_limited.1db8b4adbec87f7a98d7bb177d7007fe.html']",None,"[['Leigh Gunn - Director', 'Managing_Director'], 'https://au.linkedin.com/in/leigh-gunn-31aa9617']","['IT - Software, Transport', 'from_classification_model']","[' 1 June 2020', 'https://opencorporates.com/companies/au/641388561']","['$804,385 USD', 'https://www.dnb.com/business-directory/company-profiles.netcorp_gps_pty_limited.1db8b4adbec87f7a98d7bb177d7007fe.html']",None,"['Australia', 'https://opencorporates.com/companies/au/641388561']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.netcorp_gps_pty_limited.1db8b4adbec87f7a98d7bb177d7007fe.html']",0.0,0.0,0.0,0.0,0.0
Home | Acuity,https://www.acuitymag.com/,Acuity is the home of sharp thinking on matters of economics  business and finance. For the latest trends  expert advice and insightful interviews  sign up to Acuity today.,acuitymag,None,"['library@charteredaccountantsanz.com', 'https://www.acuitymag.com/opinion/ready-to-change-your-spots-ca-library-resources']","['1300 368 010', 'https://www.acuitymag.com/technology/the-smart-way-to-defeat-a-data-thief']","['new zealand business', 'small businesses', 'many businesses', 'business costs', 'business investment', 'support businesses', 'more blending business', 'business valuation', 'big businesses', 'small business owners']","[['Jo McKinnon ', 'Chief subeditor_ Acuity magazine ..._LinkedIn'], 'from linkedin search google']","['Finance and insurance, Education', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Geotab: Fleet Tracking and Management,https://www.geotab.com/,Geotab's fleet management software and GPS vehicle tracking devices are used to track thousands of vehicles. Get a free demo of our GPS fleet tracking solution!,geotab,"['MILDURA3500VictoriaAustralia', 'https://opencorporates.com/companies/au/612293419']","['testdrive@geotab.com', 'https://www.geotab.com/blog/rental-car-industry/']",None,None,"[['Neil Cawse', 'CEO'], 'https://www.theceomagazine.com/executive-interviews/transportation-logistics/neil-cawse/']","['IT - Software, Transport', 'from_classification_model']","[' 9 May 2016', 'https://opencorporates.com/companies/au/612293419']",None,None,"['Australia', 'https://opencorporates.com/companies/au/612293419']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/612293419']",0.0,0.0,0.0,0.0,0.0
Automotive Dealer Management System | Orion - TSI Group,https://orionsoftware.co.nz/,Automotive Dealer Management System,orionsoftware,"['485 Great South Road Penrose, Auckland 1061 New Zealand', 'https://orionsoftware.co.nz/contact']","['info@sam.co.nz', 'https://orionsoftware.co.nz/contact']","['+64 9 583 2455', 'https://orionsoftware.co.nz/contact']","['specialist business software systems', 'sam sam links', 'sam software', 'new zealand software systems', 'software systems', 'many workshop software systems', 'business systems', 'sam workmate software', 'specialist software fleet management systems', 'sam computer systems ltd. sam']","[['PATRICE BOIVIN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.orion_software_pty_ltd.1dfd77ff41d98a4df813ce52ebb688d0.html']","['IT - Software, Finance and insurance', 'from_classification_model']",None,"['$296,469 USD', 'https://www.dnb.com/business-directory/company-profiles.orion_software_pty_ltd.1dfd77ff41d98a4df813ce52ebb688d0.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.orion_software_pty_ltd.1dfd77ff41d98a4df813ce52ebb688d0.html']",0.25,0.25,0.0,0.0,0.125
CRN Australia - Connecting the Australian Channel,https://www.crn.com.au/,CRN Australia provides technology news  channel news and tools for VARs  technology integrators  computer consulants and resellers.,crn,"['Level  8 , 205 Pacific Highway St Leonards NSW 2065', 'https://www.crn.com.au/page/contact']","['subs@crn.com.au', 'https://www.crunchbase.com/organization/crn-australia']","['+61 (02) 9901 6374', 'https://www.crn.com.au/page/contact']","['company business', 'business customers', 'it service businesses', 'new microsoft', 'microsoft customers', 'new customers', 'small business hpe', 'more small businesses', 'customer service', 'australian erp new customers']","[['Anthony Woodward', 'founder'], 'https://www.crn.com.au/news/bulletproof-founder-anthony-woodward-unveils-latest-digital-venture-518806']","[['News'], 'https://www.crunchbase.com/organization/crn-australia']","['1998', 'https://www.crunchbase.com/organization/crn-australia']","['2.8M', 'https://app.avention.com/company/4eb9376a-164b-3df9-9bde-0c8b1c0d845c#report/company_summary']",None,"[' Saint Leonards, Victoria, Australia', 'https://www.crunchbase.com/organization/crn-australia']","['2', 'https://app.avention.com/company/4eb9376a-164b-3df9-9bde-0c8b1c0d845c#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/crn-australia']",0.25,0.25,0.0,0.0,0.125
