title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Marina Master Software Solution,http://www.marina-master.com/,All-in-one marina management solution that makes your marina more efficient and profitable.,marina-master,"['53 Hume St, Crows Nest NSW 2065', ['Marina Industries Association, address', 'knowledge_panel']]","['info@marina-master.com', 'http://www.marina-master.com/']",None,"['marina master', 'marina master team', 'price info productivity', 'marina', 'the world view marina master', 'us data migration marina master', 'more info', 'external systems', 'total connectivity', 'marinas safety']","[['Nuno Muralha ', 'WSP in Australia_LinkedIn'], 'from linkedin search google']","[['DentalHealth CareSoftware'], 'https://www.crunchbase.com/organization/praktika-australia']","['Apr 12, 2007', 'https://www.crunchbase.com/organization/praktika-australia']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/praktika-australia']",0.0,0.0,0.0,0.0,0.0
Fibreglass Pools for All Backyards | Compass Pools Australia,https://www.compasspools.com.au/,Our high-quality ceramic composite fibreglass pools can be installed inground or partially/completely above the ground. Get ideas for your new swimming pool!,compasspools,"['40 years Our Address  19 School Drive, Tomago, NSW 2322', 'https://www.compasspools.com.au/']","['info@compasspools.com.au', 'https://www.compasspools.com.au/warranties/triple-guarantee-warranty/']","['+61401 871 192', 'https://www.compasspools.com.au/builder/qld-mackay/']","['compass pools ceramic composite pool technology', 'pool water', 'family pool', 'fibreglass pools', 'pool systems', 'pool colours', 'good pools', 'pool builders', 'other pool', 'compass pools']","[['Anthony Cross', 'CEO'], 'https://www.compasspools.com.au/committed-to-giving-back/']","['Manufacturing, Arts, entertainment and recreation', 'from_classification_model']","['16 February 2009', 'https://opencorporates.com/companies/nz/2207121']","['$13.19 million USD', 'https://www.dnb.com/business-directory/company-profiles.compass_pools_australia_pty_limited.4ac9b0fc0f1768c0c6406bcf6b07fa2d.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/2207121']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.compass_pools_australia_pty_limited.4ac9b0fc0f1768c0c6406bcf6b07fa2d.html']",1.0,0.25,0.25,0.0,0.375
Gym Fobs Direct - USA_ Canada_ Australia & NZ_ RFID Fobs ...,https://www.gymfobsdirect.com/,USA  Canada  Australia & New Zealand | Cut out the middle ma​n  get your RFID gym fobs direct  fobs  swipe cards andwristbands all with logo printing,gymfobsdirect,"['Unit 9, 7172 Bruce Hwy Forest Glen QLD 4556', 'https://www.gymfobsdirect.com/']",None,None,"['access control systems', 'member access', 'rfid gym swipe cards', 'access control cards', 'passport technologies access control systems', 'access control', 'gym fobs direct customers', 'access cards', 'gym fobs direct', 'swipe card access']","[['Joel Enstrom ', 'Director_Gym Fobs Direct'], 'from linkedin search google']","['Manufacturing, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,1.0,0.0,0.0,0.0,0.25
Garmin | Australia | Home,https://www.garmin.com/en-AU/,Delivering innovative GPS technology across a variety of areas in outdoor  marine  aviation  automotive and fitness markets.,buy.garmin,"['PO Box 684 Seven Hills, NSW 1730 Australia', 'https://www.garmin.com/en-AU/legal/consumer-warranty-repairs/']",None,"['+61-288826100', 'https://www.dnb.com/business-directory/company-profiles.garmin_pty_ltd.eea0bc249cd0f89b75191c274b888db0.html']","['de la part de garmin', 'de garmin', 'garmin mobile et garmin express', 'ou des activités de garmin', 'site garmin de', 'web de garmin', 'utilisateurs de garmin', 'votre expérience de garmin', 'garmin et', 'des sites web de garmin']","['Gary Burrell', 'founder(s)', 'https://www.crunchbase.com/organization/garmin']","[['Consumer ElectronicsHardwareManufacturingSoftwareWearables'], 'https://www.crunchbase.com/organization/garmin']","['1989', 'https://www.crunchbase.com/organization/garmin']","['$760,018 USD', 'https://www.dnb.com/business-directory/company-profiles.garmin_pty_ltd.eea0bc249cd0f89b75191c274b888db0.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/garmin']",0.25,0.0,0.0,0.0,0.0625
SiteMinder - The complete guest acquisition platform for hotels,https://www.siteminder.com/,Increase hotel profitability and bookings with SiteMinder's complete guest acquisition solution: channel manager  hotel booking engine  hotel website design  and hotel business intelligence. ✓ Automate distribution ✓ Lower cost of acquisition ✓ Save time and money,siteminder,"['931 744 of Bond Store 3, 30 Windmill Street, Millers Point, NSW 2000 Australia', 'https://www.siteminder.com/legal/website-terms/']","['info@siteminder.com', 'https://www.crunchbase.com/organization/siteminder']","['+61 2 9221 4444', 'https://www.crunchbase.com/organization/siteminder']",None,"[['Sankar Narayan', 'CEO'], 'https://www.siteminder.com/news/technology-veteran-ceo-future-travel/']","[['Enterprise SoftwareHotelSoftware'], 'https://www.crunchbase.com/organization/siteminder']","['Sep 2006', 'https://www.crunchbase.com/organization/siteminder']","['$73.43 million USD', 'https://www.dnb.com/business-directory/company-profiles.online_ventures_pty_ltd.27856127c5579f93fc7583eff290a127.html']",None,"['Australia', 'https://opencorporates.com/companies/au/121931744']",None,"['Private', 'https://www.crunchbase.com/organization/siteminder']",0.75,0.375,0.25,0.0,0.34375
Caravanning Queensland: Home,https://www.caravanqld.com.au/,,caravanqld,"['U 9 10 Hudson Rd Albion, QUEENSLAND, 4010 Australia', 'https://www.dnb.com/business-directory/company-profiles.caravan_trade_and_industries_association_of_queensland.547075a8034ba0e090bae4aecaf2b7a8.html']","['sales@bruderx.com', 'https://www.caravanqld.com.au/product_service/bruder-expedition/']","['+617 5485 1477', 'https://www.caravanqld.com.au/park/pomona-caravan-park/']","['park esk caravan park', 'caravan park springtime gardens caravan park', 'holiday park peninsula caravan park townsville', 'van park burketown caravan park', 'maaroom caravan park rubyvale caravan park normanton', 'park oakwood caravan park barcaldine tourist', 'kingfisher caravan park southport tourist park', 'park riverside tourist park', 'sunset caravan park golden beach holiday park', 'van park tropicana tourist park cardwell van park burketown caravan park big4 adventure']","[['Jason Plant', 'CEO'], 'https://www.caravancampingsales.com.au/editorial/details/new-boss-of-caravanning-queensland-122059/']","['Manufacturing, Construction', 'from_classification_model']","[' 7 July 2016', 'https://opencorporates.com/companies/au/613519458']","['$', 'None']","['$0', 'None']","['Australia', 'https://opencorporates.com/companies/au/613519458']","['80', 'None']","['Public\xa0Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.caravan_trade_and_industries_association_of_queensland.547075a8034ba0e090bae4aecaf2b7a8.html']",0.25,0.25,0.375,0.0,0.21875
Computers_ Monitors & Technology Solutions | Dell USA,https://www.dell.com/,Explore Dell's latest computers &amp; technology solutions. Shop Laptops  Desktops  Gaming PCs  Monitors  Workstations  Storage &amp; Servers.,dell,"['Unit 3, 14 Aquatic Drive Frenchs Forest NSW 2086', 'https://www.dell.com/learn/au/en/aubsd1/campaigns/contact-us-australia']",None,"['1800-812-392', 'https://www.dell.com/learn/au/en/aubsd1/campaigns/contact-us-australia']",None,"[['Angela Fox', 'CEO'], 'https://www.smh.com.au/business/meet-the-boss-dells-angela-fox-20150405-1mev3k.html']","[['Consumer ElectronicsConsumer GoodsElectronicsSoftware'], 'https://www.crunchbase.com/organization/dell-australia']","['18 February 1999', 'https://opencorporates.com/companies/au/086351537']","['$2.2M', 'None']","['$27M', 'None']","['Sydney New South Wales, AU', 'None']","['101', 'None']","['Private', 'https://www.crunchbase.com/organization/dell-australia']",0.625,0.25,0.0,0.0,0.21875
Yahoo Sport Australia,https://au.sports.yahoo.com/,,au.sports.yahoo,"['SYDNEY2000New South WalesAustralia', 'https://opencorporates.com/companies/au/618864690']","['ted.gilpin@mountlogancapital.ca', 'https://au.sports.yahoo.com/cricket-ashes-england-test-great-graham-thorpe-reveals-ian-healy-sledge-015741409.html']","['1300 659 467', 'https://au.sports.yahoo.com/christophe-dominici-rugby-legend-found-dead-park-age-48-195623758.html']","['former afl players', 'first player', 'former players', 'tennis players', 'us open fans smith', 'former russian tennis player', 'richmond player', 'nba players', 'troubled former player', 'many players']","[['John Edwards ', 'Product Lead_NRL Network'], 'from linkedin search google']","[['Social MediaSportsTV'], 'https://www.crunchbase.com/organization/fox-sports-australia']","['Mar 1, 1996', 'https://www.crunchbase.com/organization/fox-sports-australia']",None,None,"['Australia', 'https://opencorporates.com/companies/au/618864690']",None,"['Private', 'https://www.crunchbase.com/organization/fox-sports-australia']",0.0,0.25,0.0,0.0,0.0625
Victorian Caravan Parks Association: VicParks,https://vicparks.com.au/,,vicparks,"['8 /88 Dynon Road West Melbourne Vic 3003', 'https://vicparks.com.au/contact/']","['info@allseasonscaravanpark.com.au', 'https://vicparks.com.au/region/the-murray/']","['+613 5182 5063', 'https://vicparks.com.au/park/yarram-holiday-park/']","['avondel caravan park narrawong holiday park big4 mornington peninsula holiday park', 'vicparks caravan park members port fairy holiday park', 'bendigo park lane holiday park bright pine valley tourist park', 'caravan park', 'wonthaggi park lane holiday park state', 'holiday park maldon caravan', 'holiday park big4 nrma warrnambool riverside holiday park vic', 'kaniva poolside caravan park big4 bendigo park lane holiday park bright pine valley', 'river holiday park', 'peninsula holiday park bridgewater public caravan park social discovery holiday parks']","[['Matthew Jackson', 'CEO'], 'https://www.parks.vic.gov.au/about-us/parks-victoria-executive-team']","['Manufacturing, Finance and insurance', 'from_classification_model']",None,"['$175.89 million USD', 'https://www.dnb.com/business-directory/company-profiles.parks_victoria.a3f1a4637d10e49a3002764f5ce6f7ee.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.parks_victoria.a3f1a4637d10e49a3002764f5ce6f7ee.html']",0.625,0.25,0.375,0.0,0.3125
Last Minute Hotel Deals_ Cheap Flights & Holidays ...,https://www.lastminute.com.au/,With More Flash & Less Cash  Last Minute makes booking Holidays easy with No Cancellation Fees. Pay Now or Later options available!,lastminute,"['30 Macrossan Street,  Brisbane, QLD 1800', 'https://www.lastminute.com.au/Brisbane-Hotels-Mantra-On-The-Quay.h3499679.Hotel-Information']","['amunoz@lastminute.com', 'https://www.crunchbase.com/organization/lastminute-com-2']","['+61 (0)7 3310 9771', 'https://www.lastminute.com.au/p/network-affiliate-faq']","['market hotel hotel grand', 'flights hotel hd natales', 'hotel eastlund top hotels', 'capitol square hotel sydney hotel', 'sydney hotel hare uta hotels', 'market hotel hotel grand chancellor townsville', 'peru holiday hotels', 'fiji urubamba flight info cheap flights', 'available nyc hotels', 'check hotel prices']","[['Daniel Finch', 'Managing_Director'], 'https://www.traveltrends.biz/ttn555-daniel-finch-managing-director-wotif-com-lastminute-com-au-travel-com-au/']","[['InternetTourismTravel'], 'https://www.crunchbase.com/organization/lastminute-com-2']","['Apr 1998', 'https://www.crunchbase.com/organization/lastminute-com-2']",None,None,"['Australia', 'https://opencorporates.com/companies/au/091825142']",None,"['Private', 'https://www.crunchbase.com/organization/lastminute-com-2']",0.25,0.25,0.0,0.0,0.125
Profile of the Fitness Industry in Australia - AWS,https://bp-fitnessaustralia-production.s3.amazonaws.com/uploads/uploaded_file/file/173496/FAUS843-Industry-Report-2016-Section-3-Digital.pdf,,bp-fitnessaustralia-production.s3.amazonaws,None,"['info@gymfoodaustralia.com.au', 'https://www.crunchbase.com/organization/gym-food-australia']","['+61 1300 496 366', 'https://www.crunchbase.com/organization/gym-food-australia']",None,None,"[['AppsFood ProcessingInternet'], 'https://www.crunchbase.com/organization/gym-food-australia']",None,None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/gym-food-australia']",0.0,0.0,0.0,0.0,0.0
MedRecruit: Locum and Permanent Doctor Jobs,https://www.medrecruit.com/,MedRecruit is a medical recruitment agency offering locum and permanent doctor jobs throughout Australia & New Zealand. Our team of recruitment specialists ...,medrecruit,"['Remarkables House L 2 26 Hawthorne Drive , Frankton Queenstown, 9300 New Zealand ', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['tina.barclay@medrecruit.com', 'https://www.medrecruit.com/blog/day-life-general-practitioner-jobs/']","['+64 3 4412470', 'https://www.medrecruit.com/privacy-policy/']","['new doctor jobs', 'medical doctors', 'more doctor jobs', 'permanent doctor jobs', 'available doctor jobs', 'good doctors', 'locum doctors', 'new doctors', 'doctor recruitment agency', 'permanent doctor job opportunities']","[['Sam Bolton Hazledine', 'Director'], 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['Employment Services', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['22 June 2015', 'https://opencorporates.com/companies/nz/5732610']","['4M', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5732610']","['57', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['Private Independent', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']",0.0,0.25,0.375,0.0,0.15625
CIMA - Chartered Institute of Management Accountants,https://www.cimaglobal.com/,CIMA is the world's largest professional body of management accountants. We offer the most relevant finance qualification for business.,cimaglobal,"['702/5 Hunter St, Sydney NSW 2000', ['Chartered Institute of Management Accountants, address', 'knowledge_panel']]","['richard.buttivant@gmail.com', 'https://www.cimaglobal.com/Our-locations/UK/Member-and-student-network/Our-regions-and-events/Central-London-and-North-Thames/']",None,"['cima exams', 'online cima exams', 'cima qualification', 'cima students', 'cgma cima', 'cima exam options qualification', 'study cima', 'rail infrastructure cima exams', 'cima local event', 'cima grassroots members']","[['Rebecca Bennett ', 'GM Transformation & Portfolio ..._LinkedIn'], 'from linkedin search google']","['Education, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
