title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Magadha - Wikipedia,https://en.wikipedia.org/wiki/Magadha,,magadhchronicle,"['2005 , p.\xa0137.   ^  Lee Hyun-hee 2005 , pp.\xa023–26.   ^ a  b Nelson 1993', 'https://en.wikipedia.org/wiki/History_of_Korea']","['andrewvecsey@hotmail.com', 'https://en.wikipedia.org/wiki/Talk:Wheel']","['+64-231-11447-8', 'https://en.wikipedia.org/wiki/Bimbisara']",None,None,"['Arts, entertainment and recreation, Education', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Road Traffic Technology,https://www.roadtraffic-technology.com/,The leading site for news and procurement in the road traffic management industry,roadtraffic-technology,"['Unit  2 , 26 Leighton Place    Hornsby NSW 2077 Australia', 'https://www.roadtraffic-technology.com/contractors/access_control/traffic-tech/']","['test@test.com', 'https://www.roadtraffic-technology.com/downloads/whitepapers/project/leighfisher-1/']","['+61 7 3807 6272', 'https://www.roadtraffic-technology.com/contractors/driver_info/j1-led/']","['traffic safety systems', 'road traffic', 'road traffic safety', 'road traffic products', 'new traffic signalling systems', 'traffic light systems', 'traffic information systems', 'road traffic monitoring', 'road traffic enforcement', 'road restraint systems']","['Flavia Tata Nardini', 'founder(s)', 'https://www.crunchbase.com/organization/fleet-space-technologies']","[['Internet of ThingsSatellite CommunicationTelecommunications'], 'https://www.crunchbase.com/organization/fleet-space-technologies']","['2015', 'https://www.crunchbase.com/organization/fleet-space-technologies']",None,None,"[' Beverley, Western Australia, Australia', 'https://www.crunchbase.com/organization/fleet-space-technologies']",None,"['Private', 'https://www.crunchbase.com/organization/fleet-space-technologies']",0.25,0.25,0.0,0.0,0.125
Peppers Retreats_ Resorts & Hotels - Australia and New Zealand,https://www.peppers.com.au/,,peppers,"['PO Box 8016 Gold Coast Mail Centre, QLD 9726', 'https://www.mantragroup.com.au/Contact-Us.aspx']","['enquiries@peppergroup.com.au', 'https://www.crunchbase.com/organization/pepper-group']","['+61 7 5631 2500', 'https://www.mantragroup.com.au/Contact-Us.aspx']","['peppers cradle mountain lodge peppers broadbeach', 'elizabeth broughton suite peppers family room peppers', 'spa peppers', 'peppers bluewater resort lake tekapo reviews wedding menu peppers', 'peppers waymouth hotel', 'peppers broadbeach', 'peppers gallery hotel', 'peppers', 'peppers mineral springs hotel', 'peppers king square hotel']","['Michael Culhane', 'founder(s)', 'https://www.crunchbase.com/organization/pepper-group']","[['FinanceFinancial Services'], 'https://www.crunchbase.com/organization/pepper-group']","['2001', 'https://www.crunchbase.com/organization/pepper-group']","['$1.19 million USD', 'https://www.dnb.com/business-directory/company-profiles.peppers_auto_upholstery_pty_ltd.fb4cc07c80b2b6e3a8932bbe784a4006.html']",None,"[' North Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/pepper-group']",None,"['Private', 'https://www.crunchbase.com/organization/pepper-group']",0.25,0.25,0.0,0.0,0.125
Chartered Accountants Australia & New Zealand | CA ANZ,https://www.charteredaccountantsanz.com/,Chartered Accountants Australia & New Zealand (CA ANZ) represents over 120 000 members in Australia  New Zealand & overseas. CA ANZ creates prosperity for everyone. Learn more about the opportunities  CA program or memberships that CA ANZ offers.,charteredaccountantsanz,"['33 Erskine Street Sydney, NSW 2000 Australia', 'https://www.charteredaccountantsanz.com/terms-of-use']","['onald@charteredaccountantsanz.com', 'https://www.charteredaccountantsanz.com/about-us/governance/voting/2019-member-vote/australian-regional-council-elections']","['+64 4 474 7840', 'https://www.charteredaccountantsanz.com/about-us/governance/voting/2019-member-vote/new-zealand-elections']","['ca anz members', 'ca anz services', 'ca anz council', 'ca anz submission', 'ca anz students', 'ca anz board', 'ca anz group', 'ca anz resident', 'ca anz ip', 'ca anz sydney']","[['MURRAY JACK', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.chartered_accountants_australia_and_new_zealand.ee7d7298bea6f5d8f788ba8408587a1b.html']","[['Association'], 'https://www.crunchbase.com/organization/chartered-accountants-australia-and-new-zealand']",None,"['$3.72 million USD', 'https://www.dnb.com/business-directory/company-profiles.chartered_accountants_australia_and_new_zealand.ee7d7298bea6f5d8f788ba8408587a1b.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/chartered-accountants-australia-and-new-zealand']",None,"['Private', 'https://www.crunchbase.com/organization/chartered-accountants-australia-and-new-zealand']",0.25,0.25,0.0,0.0,0.125
Parkhound: Car Parking for Rent Across Australia,https://www.parkhound.com.au/,Search  find and lease thousands of affordable parking spaces from local residents & businesses with Parkhound across Australia.,parkhound,"['220 .80 per Month Book Moorgate Street Chippendale NSW 2008', 'https://www.parkhound.com.au/parking-near-international-house-the-university-of-sydney-chippendale-nsw']","['team@parkhound.com.au', 'https://www.crunchbase.com/organization/parkhound']","['1300 55 63 55', 'https://www.parkhound.com.au']","['parking street parking', 'undercover parking great parking space', 'parking garage parking', 'garage parking space randwick parking space', 'parking secur parking space', 'king street great parking space', 'gertrude street great parking space', 'cover parking great parking', 'bondi secure parking space', 'canberra cbd parking parking']","['Michael Nuciforo', 'founder(s)', 'https://www.crunchbase.com/organization/parkhound']","[['AppsMobile AppsParking'], 'https://www.crunchbase.com/organization/parkhound']","['Sep 1, 2014', 'https://www.crunchbase.com/organization/parkhound']",None,None,"[' Carlton, Victoria, Australia', 'https://www.crunchbase.com/organization/parkhound']",None,"['Private', 'https://www.crunchbase.com/organization/parkhound']",0.25,0.25,0.75,0.0,0.3125
IPWEAQ e-resources: Home,http://ipweaq.intersearch.com.au/,,ipweaq.intersearch,"['1989 125 Years of State Public Works in Queensland 1859', 'http://ipweaq.intersearch.com.au/ipweaqjspui//simple-search?filterquery=%5B1980+TO+1989%5D&filtername=dateIssued&filtertype=equals']","['customer.service@societyone.com.au', 'https://www.crunchbase.com/organization/societyone']","['1(300) 144-221', 'https://www.crunchbase.com/organization/societyone']","['ipweaq reports', 'ipweaq branch resources', 'ipweaq annual conference', 'smart ipweaq annual', 'ipweaq', 'ipweaq board', 'other ipweaq events', 'ipweaq board members', 'ipweaq new user', 'the ipweaq central queensland branch president annual reports']","['Andy Taylor', 'founder(s)', 'https://www.crunchbase.com/organization/societyone']","[['Consumer LendingCreditFinancial ServicesFinTechPeer to PeerPersonal Finance'], 'https://www.crunchbase.com/organization/societyone']","['Aug 1, 2011', 'https://www.crunchbase.com/organization/societyone']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/societyone']",None,"['Private', 'https://www.crunchbase.com/organization/societyone']",0.25,0.0,0.0,0.0,0.0625
Park Genie,https://www.parkgenie.com.au/,,parkgenie,"['44 FISHER STREET EAST BRISBANE, QUEENSLAND, 4169 Australia', 'https://www.dnb.com/business-directory/company-profiles.park_genie_pty_ltd.b5921c9f5aa0ea93de61239f0db803f9.html']","['info@parkgenie.com.au', 'https://www.crunchbase.com/organization/park-genie']","['1300 743 643', 'https://www.parkgenie.com.au/list-a-park/']","['south brisbane email park genie', 'park genie lease', 'car parking', 'affordable inner city parking', 'street parking', 'parking', 'magical parking', 'parking brisbane', 'cheaper street parking', 'parking south brisbane']","[['TOBY WALTER LITTIN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.park_genie_pty_ltd.b5921c9f5aa0ea93de61239f0db803f9.html']","[['Parking'], 'https://www.crunchbase.com/organization/park-genie']",None,"['$4.71 million USD', 'https://www.dnb.com/business-directory/company-profiles.park_genie_pty_ltd.b5921c9f5aa0ea93de61239f0db803f9.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/park-genie']",0.0,0.75,0.0,0.0,0.1875
Watermelon Parking - Intelligent Parking Management System ...,https://www.watermelonparking.com/,A Refreshingly Simple Carpark Management System Cashless Ticketless Contactless Fast CUSTOMER JOURNEY The Watermelon Parking System Our hardware and software work together to offer customers and businesses a futuristic and streamlined parking experience. VIEW OUR HARDWARE VIEW OUR software Key Features Learn more Industries we serve Calculate what you could save with Watermelon Parking Enter […],watermelonparking,"['Suite 105/349 Pacific Hwy, North Sydney NSW 2060', ['Watermelon Parking, address', 'knowledge_panel']]",None,"['+61417 239 583', ['Watermelon Parking, phone', 'knowledge_panel']]",None,None,"['Real estate, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
TRILITY | Leading the way in water and environmental services,https://trility.com.au/,We are an Australian and New Zealand company committed to being a ‘partner of choice’ in the delivery of water  wastewater and environmental services,trility,"['L 10 115 Grenfell St Adelaide, SOUTH AUSTRALIA, 5000 Australia', 'https://www.dnb.com/business-directory/company-profiles.trility_australia_holdings_pty_ltd.e90b67bdf3351b6927e2f1887d707ce4.html']","['info@tridant.com', 'https://www.crunchbase.com/organization/tridant']","['+61 7 4974 7921', 'https://trility.com.au/contact/']","['water treatment plants', 'water pressure', 'chlorine gas leak detector trility', 'chlorine drums trility', 'chlorine gas sensor', 'chlorine containers trility', 'water reuse systems', 'potable water systems', 'water treatment', 'chlorine gas detector']","[['Francois Gouws ', 'Managing Director_TRILITY Pty Ltd'], 'None']","[['Information Technology'], 'https://www.crunchbase.com/organization/tridant']","['2007', 'https://www.crunchbase.com/organization/tridant']","['$71.14 million USD', 'https://www.dnb.com/business-directory/company-profiles.trility_australia_holdings_pty_ltd.e90b67bdf3351b6927e2f1887d707ce4.html']",None,"[' Victoria, British Columbia, Canada', 'https://www.crunchbase.com/organization/tridant']",None,"['Private', 'https://www.crunchbase.com/organization/tridant']",0.375,0.25,0.375,0.0,0.25
Legalwise Seminars | Legal CPD | Australia,https://legalwiseseminars.com.au/,Legalwise Seminars offers legal CPD seminars and conferences for lawyers  solicitors and barristers and courses featuring Law for Non-Lawyers. ,legalwiseseminars,"['L 2 95-97 GRAFTON ST BONDI JUNCTION, NEW SOUTH WALES, 2022 Australia', 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']",None,"['+61 2 9387 8133', 'https://legalwiseseminars.com.au/terms-conditions/']",None,"[['AMI SIMON', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']","['Arts, entertainment and recreation, IT - Software', 'from_classification_model']",None,"['$777,843 USD', 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']",None,None,None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']",0.75,0.25,0.0,0.0,0.25
