title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
The National Education Directory of Australia - The Leading ...,https://www.education.net.au/,The National Education Directory of Australia is the Leading online guide to ALL Schools & Higher Education in Australia including Sydney Schools  Melbourne Schools  Adelaide Schools  Perth Schools  Canberra Schools  Darwin Schools  Hobart Schools  Brisbane Schools  New Zealand Schools  finding Australian schools & colleges  Australian TAFE Education  Australian College Education  Australian University Education  Sydney School Education  Melbourne School Education  Adelaide School Education  Canberra School Education  Perth School Education  Hobart School Education  Brisbane School Education,education.net.au,"['2008 are limited ...    Address: Winnecke Avenue, Alice Springs NT 0871', 'https://www.education.net.au/search_result.php?searchfield=Alice%20Springs']","['media@open.edu.au', 'https://www.crunchbase.com/organization/open-universities-australia']","['+61 8 8255 4838', 'https://www.education.net.au/facility/school/SA']","['school education australia', 'school education', 'school education south australia', 'school education western australia', 'school education new', 'national school education directory', 'school education hobart', 'school education brisbane', 'school education perth', 'school education victoria']","[['ALAN EDWIN BLENCOWE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.vetis_consulting_services_pty_ltd.bd978199fc5c9d046f18535cd8f64bf2.html']","[['EducationHigher EducationMarketplace'], 'https://www.crunchbase.com/organization/open-universities-australia']","['1993', 'https://www.crunchbase.com/organization/open-universities-australia']","['$3.17 million USD', 'https://www.dnb.com/business-directory/company-profiles.vetis_consulting_services_pty_ltd.bd978199fc5c9d046f18535cd8f64bf2.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/open-universities-australia']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.vetis_consulting_services_pty_ltd.bd978199fc5c9d046f18535cd8f64bf2.html']",0.25,0.25,0.0,0.0,0.125
Canteach,https://www.canteach.net/,The best name in Canadian Student Recruitment! CANTEACH is an education consultant helping students from Canada complete one-year teaching degrees overseas in Australia  New Zealand  Scotland or Wales.,canteach.net,None,None,None,"['canteach university', 'other canteach students', 'canteach university options', 'canteach university programs', 'canteach university visits', 'mike johnson canteach', 'member university programs', 'cardiff metropolitan university', 'students', 'scotland auckland university']","[['Michael David JOHNSON', ' director'], 'https://opencorporates.com/companies/nz/1282246']","['Education, IT - Software', 'from_classification_model']","['10 March 2003', 'https://opencorporates.com/companies/nz/1282246']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1282246']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1282246']",0.0,0.0,0.0,0.0,0.0
Excel Education | Study Abroad_ Overseas Education ...,https://www.e2studysolution.com/,SNIPPETS OF EXCEL EDUCATION – E2 Been There Done That If you are going to take advice from someone  it is best to listen to those who have lived and studied overseas before! All of our consultants have overseas education experience and equip with great counselling skills to help you make one of the most … Home 2 Read More »,e2studysolution,"['Suite  808 , 368 Sussex Street Sydney, NSW 2000 Australia', 'https://www.e2studysolution.com/']","['hello@flurosat.com', 'https://www.crunchbase.com/organization/flurosat']","['+61 424 988 337', 'https://www.e2studysolution.com/news/Here-are-the-tips-to-help-you-apply-for-Australian-Residency-PR/']","['ucsi university university', 'university） griffith university', 'macquarie university queensland university', 'student chosen university', 'university western sydney university international scholarship', 'la trobe university university', 'sunway university western sydney university', 'australia national university', 'australia recommended university', 'torrens university australia']","['Anastasiia Volkova', 'founder(s)', 'https://www.crunchbase.com/organization/flurosat']","[['AgricultureAnalyticsFarmingMachine Learning'], 'https://www.crunchbase.com/organization/flurosat']","['Nov 13, 2016', 'https://www.crunchbase.com/organization/flurosat']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/flurosat']",None,"['Private', 'https://www.crunchbase.com/organization/flurosat']",0.25,0.25,0.0,0.0,0.125
New Zealand Skills and Education College - Get Yourself Here,https://www.nzse.ac.nz/,NZSE College is your Category One NZQA education provider with academic programmes that can transition you into higher education or the NZ and global workforce.,nzse.ac.nz,"['3033 Great North Rd, New Lynn, AucklandNZ', 'https://opencorporates.com/companies/nz/1273414']","['ebos@ebosgroup.com', 'https://www.crunchbase.com/organization/ebos-group']","['+64 9 827 6100', 'https://www.nzse.ac.nz/news/comptia-with-support-from-nzse-college-and-skills-campus-are-giving-anyone-interested-in-studying-it-access-to-their-it-fundamentals-certificate-course-in-2021']","['new zealand international student', 'nzse college students', 'new zealand', 'new zealand student', 'new zealand skills', 'new zealand school', 'new zealand international', 'student services', 'student support services', 'business student']","[['Brijesh SETHI', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.new_zealand_skills_and_education_group_limited.81e8569038d0c05010c4799e428d751b.html']","[['Health CareHospital'], 'https://www.crunchbase.com/organization/ebos-group']","['1922', 'https://www.crunchbase.com/organization/ebos-group']","['$202,110 USD', 'https://www.dnb.com/business-directory/company-profiles.new_zealand_skills_and_education_group_limited.81e8569038d0c05010c4799e428d751b.html']",None,"[' Docklands, Victoria, Australia', 'https://www.crunchbase.com/organization/ebos-group']",None,"['Private', 'https://www.crunchbase.com/organization/ebos-group']",0.75,0.25,0.0,0.0,0.25
Randstad New Zealand | Job & Recruitment Agency,https://www.randstad.co.nz/,Randstad is New Zealand's leading recruitment agency connecting you to the best jobs in Auckland  Wellington and Christchurch. Browse jobs here. Are you an employer? Learn more.,randstad,"['Level  14 , 120 Albert Street 1010 Auckland New Zealand', 'https://www.randstad.co.nz/my-randstad/account/']","['aaron.marshall@randstad.co.nz', 'https://www.randstad.co.nz/jobs/site-manager-residential_auckland_36476238/']","['+6127 724 6611', 'https://www.randstad.co.nz/jobs/site-manager-residential_auckland_36476238/']","['randstad randstad', 'team randstad', 'strong employer brands', 'current job opportunities', 'randstad employees', 'new team', 'current education job opportunities', 'new roles', 'employer brand', 'wonderful job opportunities']","[['ADAM LESLIE HOMER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.randstad_pty_limited.d504f59afc3a3f8651bdeb71e0045b4f.html']","['Education, Finance and insurance', 'from_classification_model']","['17 December 2001', 'https://opencorporates.com/companies/nz/1176128']","['$616.69 million USD', 'https://www.dnb.com/business-directory/company-profiles.randstad_pty_limited.d504f59afc3a3f8651bdeb71e0045b4f.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1176128']",None,"['Private', 'https://www.crunchbase.com/organization/randstad-nz']",0.625,0.25,0.0,0.0,0.21875
Davis Dyslexia Australia - Enabling Successful Learning,https://www.davisdyslexia.com.au/,Help with Dyslexia  by teaching strategies that enable successful learning for people living with dyslexia and related conditions to increases confidence and eliminate the frustration  stress and anxiety Dyslexia can bring.,davisdyslexia,"['7 Oceanblue Boulevard,\xa0Pialba, Hervey Bay, QLD 4655 Australia', 'https://www.davisdyslexia.com.au/facilitator-listings.html']","['dyslexiacorrectionwa@gmail.com', 'https://www.davisdyslexia.com.au/facilitator-listings.html']","['+61 7 3299 3994', 'https://www.davisdyslexia.com.au/facilitator-listings.html']","['davis dyslexia correction program davis dyslexia association international', 'davis dyslexia correction', 'davis dyslexia correction programs', 'dyslexia workshop', 'dyslexia', 'dyslexia screening assessment', 'facilitator training davis', 'training davis learning strategies', 'davis autism approach', 'maths mastery program']","[['Margot Claire YOUNG', ' director'], 'https://opencorporates.com/companies/nz/5938888']","['Education, Healthcare', 'from_classification_model']","[' 1 April 2016', 'https://opencorporates.com/companies/nz/5938888']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/5938888']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/5938888']",0.25,0.25,0.75,0.0,0.3125
New Zealand Tertiary College | Empowering students to care ...,https://www.nztertiarycollege.ac.nz/,An NZQA Category One education provider specialising in early childhood education (ECE) and health and wellbeing qualifications. Programs range from certificate to Master’s level through flexible online study options._A Category One education provider specialising in early childhood education (ECE) and health and wellbeing qualifications in New Zealand.,nztertiarycollege.ac.nz,"['60 Greville Road Pinehill Auckland, AUCKLAND, 0632 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.new_zealand_tertiary_college_limited.a61b1475549c8eb4f8bef77c5749a880.html']","['enrolments@nztertiarycollege.ac.nz', 'https://www.nztertiarycollege.ac.nz/']","['+64 9 520 4000', 'https://www.nztertiarycollege.ac.nz/']","['nztc nztc', 'new zealand early childhood education content', 'new zealand', 'new zealand qualifications', 'new zealand life', 'early childhood education studies', 'early childhood teacher qualification', 'new zealand teacher certification', 'early childhood teachers', 'nztc nztc care newsletters']","[['BRUCE ROBERT YOULDEN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.new_zealand_tertiary_college_limited.a61b1475549c8eb4f8bef77c5749a880.html']","['Education, Agriculture', 'from_classification_model']","['21 June 1988', 'https://opencorporates.com/companies/nz/398330']","['$4.68 million USD', 'https://www.dnb.com/business-directory/company-profiles.new_zealand_tertiary_college_limited.a61b1475549c8eb4f8bef77c5749a880.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/398330']",None,"['Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.new_zealand_tertiary_college_limited.a61b1475549c8eb4f8bef77c5749a880.html']",0.0,0.25,0.0,0.0,0.0625
ABC (Australian Broadcasting Corporation),https://www.abc.net.au/,,abc.net.au,None,None,"['+61028) 333-1500', 'https://www.crunchbase.com/organization/abc-television']",None,None,"[['Identity ManagementNews'], 'https://www.crunchbase.com/organization/abc-television']","['1956', 'https://www.crunchbase.com/organization/abc-television']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/abc-television']",None,"['Private', 'https://www.crunchbase.com/organization/abc-television']",0.0,0.0,0.0,0.0,0.0
Triple P Implementation | Official Corporate site,https://www.triplep.net/glo-en/home/,Triple P Positive Parenting Program  for practitioners  professionals  government and non-government organisations (NGOs) implementing Triple P in your local area.,triplep.net,"['11 Market St N Indooroopilly, QUEENSLAND, 4068 Australia', 'https://www.dnb.com/business-directory/company-profiles.triple_p_international_pty_ltd.a7237df0e0da4026ea48f05560f2acd0.html']","['info@caremonkey.com', 'https://www.crunchbase.com/organization/caremonkey']","['+61 (0) 478 495 457', 'https://www.triplep.net/glo-en/media/media-contacts/']","['distintas dimensiones de la vida de los niños y de los', 'de conciencia de la', 'y madres de niños de', 'de los equipos y de cada', 'distintas dimensiones de la vida de los niños y de los adultos', 'de conductas de', 'de de todo', 'acerca de la experiencia y los desafíos de', 'positivo de las y los jóvenes de la localidad', 'de la implementación exitosa de triple']","[['Jenna McWilliam ', 'Head of Organisational ..._LinkedIn'], 'None']","[['EducationHealth CareInternetSaaSSoftware'], 'https://www.crunchbase.com/organization/caremonkey']","['Oct 22, 2013', 'https://www.crunchbase.com/organization/caremonkey']","['$10.59 million USD', 'https://www.dnb.com/business-directory/company-profiles.triple_p_international_pty_ltd.a7237df0e0da4026ea48f05560f2acd0.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/caremonkey']",None,"['Private', 'https://www.crunchbase.com/organization/caremonkey']",0.75,0.25,0.25,0.0,0.3125
ILETC,http://www.iletc.com.au/,Innovative Learning Environments & Teacher Change,iletc,None,"['helpdesk@seqta.com.au', 'https://www.crunchbase.com/organization/seqta']","['+61 8 9301 2277', 'https://www.crunchbase.com/organization/seqta']","['school learning spaces', 'teachers new learning spaces', 'innovative learning spaces', 'traditional learning spaces', 'different learning space designs', 'different learning spaces', 'active learning spaces', 'new learning spaces', 'effective learning spaces', 'modern learning spaces']","['Grant Grosser', 'founder(s)', 'https://www.crunchbase.com/organization/seqta']","[['E-LearningEdTechEducationSoftware'], 'https://www.crunchbase.com/organization/seqta']","['Mar 1, 2006', 'https://www.crunchbase.com/organization/seqta']",None,None,"[' Burwood East, Victoria, Australia', 'https://www.crunchbase.com/organization/seqta']",None,"['Private', 'https://www.crunchbase.com/organization/seqta']",0.0,0.0,0.0,0.0,0.0
