title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Snap-on Incorporated,https://www.snapon.com/,,snapon,"['80 Holbeche Rd, Arndell Park NSW 2148', ['Snap-On Tools, address', 'knowledge_panel']]","['contract.sales@snapon.com', 'https://www.snapon.com/EN/US/Diagnostics/Contact-Us']","['1800 810 581', 'https://www.snapon.com/EN/US/Diagnostics/Contact-Us']","['tool storage products', 'directors snap', 'service tools', 'power tools', 'tool', 'tool storage solutions', 'hand tools', 'tool control', 'bahco tools', 'industry specific tools']","[['Richard Thame', 'CEO'], 'https://www.wideformatonline.com/news/wide-format-news/10179-snap-names-richard-thame-as-its-new-ceo.html']","[['AutomotiveManufacturing'], 'https://www.crunchbase.com/organization/snap-on']","['Apr 1, 1920', 'https://www.crunchbase.com/organization/snap-on']","['$41M', 'None']","['$0', 'None']","['New Zealand', 'https://opencorporates.com/companies/nz/567059']","['133', 'None']","['Public', 'https://www.crunchbase.com/organization/snap-on']",0.0,0.25,0.0,0.0,0.0625
Jubatus- Cable and Diagnostic Solutions,https://jubatus.net/,Jubatus delivers cable based power and communications solutions for customers in Australia and New Zealand with a focus on utilities  mining  and industrial sectors.,jubatus.net,"['Suite  8 .01, Level 8 140 Bourke St Melbourne  VIC 3000 Australia', 'https://jubatus.net/products/ehv-cable/']","['salesus@jumbuck.com', 'https://www.crunchbase.com/organization/jumbuck-entertainment']","['+61 3 9654 7461', 'https://jubatus.net/products/ehv-cable/']","['jubatus systems', 'power cable installation', 'optical fibre cable', 'fibre communications cables', 'power cable applications', 'high voltage cable systems', 'high voltage power cables', 'old cable systems', 'typical power cable monitoring installations', 'cable design']","[['Brian Wright', 'Managing_Director'], 'https://jubatus.net/about-us/jubatus-people/']","[['Mobile'], 'https://www.crunchbase.com/organization/jumbuck-entertainment']","['Feb 1, 2000', 'https://www.crunchbase.com/organization/jumbuck-entertainment']","['$5M', 'None']","['$0', 'None']","['Australia', 'https://opencorporates.com/companies/au/632996662']","['92', 'None']","['Private', 'https://www.crunchbase.com/organization/jumbuck-entertainment']",0.625,0.25,0.0,0.0,0.21875
Worldwide laboratory testing services - Eurofins Scientific,https://www.eurofins.com/,World leader in food  environment  pharma product testing & agroscience CRO services; 50 000 staff in 800 labs in 50 countries  offering 200 000 analytical methods.,eurofins,"['100 "",""address2"":"""",""town"":""Bothell"",""postzipCode"":"" WA 9802', 'https://www.eurofins.com/contact-us/worldwide-interactive-map/?division=Genomic%20Services']","['technologies.anz@eurofins.com', 'https://www.eurofins.com/food-and-feed-testing/food-testing-services/technologies/']","['+64-02-01-2020', 'https://www.eurofins.com/consumer-product-testing/services/']","['en iec 61977:2020 en iec', 'en iec 63009:2019 en', 'en 301549:2018 en iec', 'en 16838:2019 en iec', 'brexit en iec 61535:2019 en iec', 'radio equipment en iec', 'en iec 55015:2019 iec', 'en iec', 'en iec 62812:2019 eurofins', 'engine systems en iec']","[['Jennifer Wan', 'Managing_Director'], 'https://au.linkedin.com/in/jennifer-wan-74874637']","[['Professional Services'], 'https://www.crunchbase.com/organization/eurofins-environment-testing-australia-pty-ltd']","['1975', 'https://www.crunchbase.com/organization/eurofins-environment-testing-australia-pty-ltd']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/696449']",None,"['Private', 'https://www.crunchbase.com/organization/eurofins-environment-testing-australia-pty-ltd']",0.25,0.25,0.375,0.0,0.21875
Innocua.net,http://innocua.net/web/,,innocua.net,"['14 VOLCANIC LOOP WANGARA, WESTERN AUSTRALIA, 6065 Australia', 'https://www.dnb.com/business-directory/company-profiles.autonomo_pty_ltd.06f0bb024e5b4a6204f446057373aa9f.html']","['contacto@innocua.net', 'http://innocua.net/web/index.php']","['+61-436408799', 'https://www.dnb.com/business-directory/company-profiles.autonomo_pty_ltd.06f0bb024e5b4a6204f446057373aa9f.html']","['de inocuidad de los alimentos', 'de los alimentos desde el campo hasta el consumidor dentro', 'que tiene el objetivo de reunir información', 'el concepto de', 'una biblioteca electrónica que tiene el objetivo de reunir información', 'que integran el concepto', 'el campo hasta el consumidor', 'de la seguridad alimentaria', 'la elaboración de alimentos inocuos', 'un complejo sistema multifactorial que']","['Denis Mysenko', 'founder(s)', 'https://www.crunchbase.com/organization/tixel']","[['EventsMarketplaceMusicTicketing'], 'https://www.crunchbase.com/organization/tixel']","['Jun 1, 2017', 'https://www.crunchbase.com/organization/tixel']","['$2.07 million USD', 'https://www.dnb.com/business-directory/company-profiles.autonomo_pty_ltd.06f0bb024e5b4a6204f446057373aa9f.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/tixel']",0.0,0.0,0.0,0.0,0.0
News - VIN,https://news.vin.com/,,news.vin,None,"['ecall@vin.com', 'https://www.vin.com/promo/MenuRecall.htm']","['+612-6145-2357', 'https://news.vin.com/apputil/project/defaultadv1.aspx?id=4732871']","['student loan debt relief companies', 'veterinary student loans', 'veterinary student debt', 'previous student loan debt', 'federal student loans', 'student loans', 'student loan interest', 'student debt payments', 'other student loan advisers', 'several specific federal student loans']","[['Neil Wilson', 'CEO'], 'https://www.racenet.com.au/news/vrc-announce-new-executive-appointments-20200624']","[['Digital MediaLifestyleNews'], 'https://www.crunchbase.com/organization/news-com-au']","['Apr 4, 2012', 'https://www.crunchbase.com/organization/news-com-au']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/news-com-au']",0.0,0.25,0.0,0.0,0.0625
FRDC,https://www.frdc.com.au/,Investing in research  development and extension to ensure the sustainability and profitability of Australian fishing and aquaculture,frdc,"['02 6285 0423    Locked Bag 222 DEAKIN WEST ACT 2600', 'https://www.frdc.com.au:443/frdc-stakeholders/national-priorities-and-subprograms/national-priority-three/new-and-emerging-aquaculture']","['privacy@frdc.com.au', 'http://www.frdc.com.au/en/about/legal/privacy-policy']","['+61 2 6285 0400', 'http://www.frdc.com.au/en/about/legal/privacy-policy']","['australian fisheries management', 'fisheries stock assessment', 'frdc project', 'fisheries management', 'fisheries management approaches', 'australian abalone fisheries', 'national fisheries management', 'fishery data', 'key australian fish stocks', 'fisheries research']","[['Dr Patrick Hone Patrick Hone', 'Managing_Director'], 'https://www.frdc.com.au/about/frdc-staff']","[['Government'], 'https://www.crunchbase.com/organization/fisheries-research-development-corporation']","['1991', 'https://www.crunchbase.com/organization/fisheries-research-development-corporation']",None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
The Corporate Online Language Learning trade is soaring ...,https://technoweekly.com/news/1327811/the-corporate-online-language-learning-trade-is-soaring-says-smi/,,technoweekly,"['Suite 105/29-31 Solent Cct, Norwest NSW 2153', ['McCrindle Research, address', 'knowledge_panel']]",None,None,"['market report', 'market research reports', 'agriculture market research report', 'wastebaskets market report', 'strategic market research reports', 'health software market research report', 'market intelligence reports', 'global market review', 'global acetone market', 'global pectin market']",None,"['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Integral Diagnostics - innovative radiology services,https://www.integraldiagnostics.com.au/,Combining the human element of radiology with a commitment to innovation  creating a new way for radiology groups to operate.,integraldiagnostics,"['Se 9.02 L 9 45 William St Melbourne, VICTORIA, 3000 Australia', 'https://www.dnb.com/business-directory/company-profiles.integral_diagnostics_limited.e7882302d4a465255feebe87dfe6dfb9.html']","['info@integraldiagnostics.com.au', 'https://www.crunchbase.com/organization/integral-diagnostics']","['+61 400 018 034', 'https://www.integraldiagnostics.com.au/page/contact-us/']","['medical imaging services', 'quality medical imaging services', 'exceptional medical imaging services', 'advanced diagnostic imaging services', 'integral diagnostics', 'integral diagnostics limited', 'medical imaging', 'medical imaging saves', 'diagnostic services', 'online access integral diagnostics']","[['JOHN ATKIN ', 'Vice Chair_OUTWARD BOUND ...'], 'None']","[['BiotechnologyHealth CareMedical'], 'https://www.crunchbase.com/organization/integral-diagnostics']","['22 August 2019', 'https://opencorporates.com/companies/au/635711849']","['$189.83 million USD', 'https://www.dnb.com/business-directory/company-profiles.integral_diagnostics_limited.e7882302d4a465255feebe87dfe6dfb9.html']",None,"['Australia', 'https://opencorporates.com/companies/au/635711849']",None,"['Public', 'https://www.crunchbase.com/organization/integral-diagnostics']",0.375,0.25,0.375,0.0,0.25
Home | AMA,http://ama.com.au/,,ama,"['2005 - Australian Capital Territory  2004 - Tasmania 2002', 'https://ama.com.au:443/about/awards-and-honours']","['admin@amasa.org.au', 'https://www.crunchbase.com/organization/australian-medical-association']","['+61 2 6270 5400', 'https://www.dplearning.com.au/']","['health care services', 'health care needs', 'private health care', 'quality health care', 'primary health care services', 'health care professionals', 'better health care', 'health care arrangements', 'basic health care', 'suitable health care']","[['Dr Samantha Mead', 'CEO'], 'https://associations.net.au/news/sector-news/2019/new-ceo-for-ama(sa).html']","[['Association'], 'https://www.crunchbase.com/organization/australian-medical-association']","[' 6 October 2020', 'https://opencorporates.com/companies/au/644887445']","['$6.31 million USD', 'https://www.dnb.com/business-directory/company-profiles.ama_(aust)_pty_ltd.880840bce2f5f01c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/644887445']",None,"['Private', 'https://www.crunchbase.com/organization/australian-medical-association']",0.25,0.375,0.0,0.0,0.15625
Virbac New Zealand,https://nz.virbac.com/,,nz.virbac,"['26-30 Maui St Pukete Hamilton, WAIKATO, 3200 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.virbac_new_zealand_limited.ab6e8ca45b9dfeea4d4b0f163d00696b.html']","['feedback@virbac.co.nz', 'https://nz.virbac.com/terms/indorex']","['+64-78496782', 'https://www.dnb.com/business-directory/company-profiles.virbac_new_zealand_limited.ab6e8ca45b9dfeea4d4b0f163d00696b.html']","['virbac new zealand ltd', 'virbac new zealand ltd products', 'virbac new zealand', 'other dogs', 'virbac new zealand ltd activities', 'virbac new zealand ltd hereby', 'virbac new zealand ltd.', 'virbac new zealand limited', 'many dogs', 'dog core vaccine']","[['Fraser HODGSON', ' director'], 'https://opencorporates.com/companies/nz/201453']","[['Pharmaceutical'], 'https://www.crunchbase.com/organization/virbac']","['1968', 'https://www.crunchbase.com/organization/virbac']","['$18.25 million USD', 'https://www.dnb.com/business-directory/company-profiles.virbac_new_zealand_limited.ab6e8ca45b9dfeea4d4b0f163d00696b.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/201453']",None,"['Public', 'https://www.crunchbase.com/organization/virbac']",0.0,0.0,0.375,0.0,0.09375
