search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Incident management software australia or newzealand,Sentrient: Compliance System_ Compliance Courses ...,https://www.sentrient.com.au/,Workplace Compliance Systems & Courses. Sentrient offers #1 workplace compliance system with compliance management training courses for Australian businesses.,sentrient,"['Level  1 , 1 Queens Road, Melbourne VIC 3004', 'https://www.sentrient.com.au/prevention-is-better-than-cure']","['info@sentrient.com.au', 'https://www.crunchbase.com/organization/sentrient']","['1300 040 589', 'https://www.crunchbase.com/organization/sentrient']","['workplace compliance policy', 'bullying policy workplace policy template', 'sentrient online workplace compliance system', 'online workplace compliance courses', 'online workplace compliance system', 'online workplace compliance management system', 'online workplace compliance training', 'workplace policy template', 'workplace compliance systems', 'online workplace compliance training program']","[['Gavin Altus ', 'Managing Director_Sentrient'], 'None']","[['ComplianceEducationRisk ManagementSaaSSoftware'], 'https://www.crunchbase.com/organization/sentrient']","['Jan 1, 2015', 'https://www.crunchbase.com/organization/sentrient']","['1.4M', 'https://app.avention.com/company/498659f8-a663-3713-8fe7-2d904d08ba16#report/company_summary']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/sentrient']","['4', 'https://app.avention.com/company/498659f8-a663-3713-8fe7-2d904d08ba16#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/sentrient']",1.0,0.25,0.375,0.0,0.40625
Infrastructure management software in australia or newzealand,Home | ARA,https://ara.net.au/,The Australasian Railway Association (ARA) is the peak body for the rail sector in Australia and New Zealand. We represent more than 150 member organisations ...,ara.net.au,None,"['events@ara.net.au', 'https://ara.net.au/events-and-networking/lunches']","['+61 (0)423 783 667', 'https://ara.net.au/content/australasian-and-uk-rail-industries-sign-ground-breaking-partnership']","['rail new rail freight line', 'rail projects', 'new rail projects', 'rail light rail freight', 'rail industry skills', 'rail industry initiative', 'rail industry capability', 'rail industry workers', 'rail industry leaders', 'new rail']","[['Caroline Wilkie', 'CEO'], 'https://ara.net.au/content/ara-appoints-caroline-wilkie-chief-executive-officer']","[['Telecommunications'], 'https://www.crunchbase.com/organization/aarnet']","['1989', 'https://www.crunchbase.com/organization/aarnet']",None,None,"[' Chatswood, New South Wales, Australia', 'https://www.crunchbase.com/organization/aarnet']",None,"['Private', 'https://www.crunchbase.com/organization/aarnet']",0.0,0.25,0.0,0.0,0.0625
Infrastructure maintenance software in australia or newzealand,ComputerWeekly.com | Information Technology (IT) News_ UK ...,https://www.computerweekly.com/,The latest information technology (IT) news and IT jobs from ComputerWeekly.com. Stay ahead with IT management and technology news  blogs  jobs  case studies  whitepapers and videos.,computerweekly,None,"['info@cert.gov.au', 'https://www.crunchbase.com/organization/cert-australia']","['1(300)172-499', 'https://www.crunchbase.com/organization/cert-australia']",None,"[['Alison Gartner ', 'Consultant_Life Sciences'], 'from linkedin search google']","[['ComputerGovernment'], 'https://www.crunchbase.com/organization/cert-australia']","['2010', 'https://www.crunchbase.com/organization/cert-australia']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/cert-australia']",0.0,0.0,0.0,0.0,0.0
Infrastructure management software in australia or newzealand,MCS Rental Software,https://www.mcsrentalsoftware.com/en/,MCS Rental Software built to help your business grow and thrive. Find out how MCS hire software can transform your business using digital solutions.,mcsrentalsoftware,"['Suite  4 , 151-153 Pacific Highway, Hornsby, NSW 2077 Australia', 'https://www.mcsrentalsoftware.com/za/contact']","['stevej@corelli.org.uk', 'https://www.mcsrentalsoftware.com/za/terms-of-use-za']","['+61 (2) 9477 1355', 'https://www.mcsrentalsoftware.com/au/']","['contact mcs mcs', 'mcs rental software', 'mcs rental software solutions', 'mcs software solutions', 'mcs software', 'mcs hire software', 'mcs hire management software', 'mcs solutions', 'mcs rental software gmbh contact mcs vermietsoftware steigert', 'nixon hire mcs hire software']",None,"['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Building management software in australia or newzealand,Home Thales,https://www.thalesgroup.com/en,From Aerospace  Space  Defence to Security & Transportation  Thales helps its customers to create a safer world by giving them the tools they need to perform critical tasks,thalesgroup,None,"['pilar.gonzalez@thalesgroup.com', 'https://www.thalesgroup.com/en/countries/europe/spain']",None,"['de la ligne de produits altimétriques de thales alenia space', 'de la ligne de', 'de thales', 'd’apprentissage et de formation interne de thales', 'et solutions de thales microwave', 'thales thales', 'de la science et de l’espace', 'la medición de la altura de la superficie', 'reconnue de thales et', 'de la terre et la gestion de l’environnement']","[['Ashley Deacon ', 'Thales Australia and New Zealand_LinkedIn'], 'from linkedin search google']","['IT - Software, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Care management software in australia or newzealand,Attaché Software,https://www.theaccessgroup.com.au/,Curious about a better way to do business software? Transform your business management with integrated HR  payroll and accounting software from Access._What if business software worked the way we wanted it to? Access Workspace integrates your business management software in one place  across Payroll  HR  Learning and Finance operations.,theaccessgroup,"['Level 5, 118 Talavera Road Macquarie Park, NSW 2113', 'https://www.theaccessgroup.com.au/privacy-policy/']","['anz.info@theaccessgroup.com', 'https://www.theaccessgroup.com.au/coronavirus-update/']","['1300 288 224', ['The Access Group, phone', 'knowledge_panel']]","['access attaché payroll software', 'access business software solutions', 'business management software solutions', 'access attaché', 'access attaché payroll', 'business software solutions', 'attaché fixed asset management software', 'business software', 'attaché track key warranty information software', 'attaché products']","[['John Jones', 'CEO'], 'https://www.accessgroup.net.au/profile/management-team/']","['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.75,0.0,0.0,0.25
Asset maintenance software in australia or newzealand,Global Enterprise Software Solution Provider | IFS United States,https://www.ifs.com/us/,Recognized as a leading enterprise software solution provider  IFS develops and delivers ERP  EAM  FSM and ESM to businesses worldwide. From cloud technology to easy-to-use interfaces  our solutions are for customers who maintain assets  manage service operations  or manufacture and distribute goods.,ifs,None,"['ifsdpo@synchlaw.se', 'https://www.ifs.com/us/privacy/']",None,"['ifs erp ifs', 'ifs ifs practitioner', 'ifs partners ifs', 'ifs ifs espoo', 'ifs maintenix ifs maintenix', 'ifs oulu ifs academy', 'ifs solution composer ifs', 'ifs projections infosys ifs', 'ifs solution composer ifs website', 'ifs customers']","[['Fred Atherton', 'CEO'], 'https://www.ifs.com/au/our-customers/']","['IT - Software, Finance and insurance', 'from_classification_model']","['22 August 1995', 'https://opencorporates.com/companies/au/070822178']",None,None,"['Australia', 'https://opencorporates.com/companies/au/070822178']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/070822178']",0.0,0.0,0.0,0.0,0.0
Building management software in australia or newzealand,Buildxact | Estimating & Job Management Software Australia,https://www.buildxact.com.au/,Buildxact is an easy to use construction management and estimating software designed for small builders and contractors. Sign up for your 14-day free trial.,buildxact,"['Level  1 /411 Collins Street, Melbourne VIC 3000', 'https://www.buildxact.com.au/']","['info@buildxact.com.au', 'https://www.crunchbase.com/organization/buildxact']","['1800 965 597', ['Buildxact, phone', 'knowledge_panel']]","['buildxact customer buildxact', 'buildxact software', 'easy trade job management software', 'easy online job management software', 'jobs software', 'most construction job management software', 'construction management software', 'construction estimating software', 'job management software drive customer acquisition', 'construction software tools']","[['Stephen Allison ', 'Key Account Manager_Buildxact'], 'None']","[['Project ManagementSoftware'], 'https://www.crunchbase.com/organization/buildxact']","['Jan 1, 2007', 'https://www.crunchbase.com/organization/buildxact']","['$15.8M', 'None']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/buildxact']","['35', 'None']","['Private', 'https://www.crunchbase.com/organization/buildxact']",0.25,0.75,0.0,0.0,0.25
Infrastructure maintenance software in australia or newzealand,Infrastructure Magazine | News_ views and opinion from the ...,https://infrastructuremagazine.com.au/,Infrastructure is an industry-leading magazine that brings together asset owners  statutory bodies  consulting engineers and first-tier contractors to explore the biggest news and issues across the infrastructure industry.,infrastructuremagazine,"['14 Darling Drive Sydney NSW 2000 Australia', 'https://infrastructuremagazine.com.au/event/safety-in-action-2020/']","['enquiries@informa.com.au', 'https://infrastructuremagazine.com.au/event/safety-in-action-2020/']","['+61 2 9080 4300', 'https://infrastructuremagazine.com.au/event/safety-in-action-2020/']","['new projects', 'road infrastructure projects', 'major rail infrastructure projects', 'fewer new projects', 'transport infrastructure projects', 'largest road infrastructure projects', 'national rail infrastructure projects', 'major infrastructure projects', 'major transport infrastructure projects', 'regional infrastructure projects']","[['Phillip Helberg', 'CEO'], 'https://infrastructuremagazine.com.au/2020/06/10/infrastructure-wa-appoints-new-ceo/']","['Construction, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Software for NDIS service providers in australia or newzealand,Programmed | Staffing_ Operations and Maintenance,https://programmed.com.au/,Australia and New Zealand's leading provider of operations and maintenance services across all industry sectors including education  health  infrastructure  manufacturing  transport and mining.,programmed,"['47 Burswood Rd Burswood, Western Australia, 6100 Australia', 'https://app.avention.com/company/52ecd1a6-c9dc-3123-b250-42a1b1caeaff#report/company_summary']","['webmaster@jobx.com.au', 'https://www.jobs.programmed.com.au/job/rss.aspx?search=1&professionid=7&roleids=83']","['+61-892162100', 'https://www.dnb.com/business-directory/company-profiles.programmed_professionals_pty_ltd.e689b40e2b72790ea055296710fb57d1.html']","['programmed services', 'programmed people', 'contact programmed', 'western australia programmed', 'programmed facility management', 'linacre engaged programmed', 'watersedge programmed', 'other programmed website', 'programmed property services', 'energy programmed']","[['Glenn Thompson ', 'Managing Director and Group ..._LinkedIn'], 'None']","[['Facilities Support Services'], 'https://www.crunchbase.com/organization/programmed']","['1992', 'https://www.crunchbase.com/organization/programmed']","['2.5B', 'https://app.avention.com/company/52ecd1a6-c9dc-3123-b250-42a1b1caeaff#report/company_summary']",None,"[' Burwood, New South Wales, Australia', 'https://www.crunchbase.com/organization/programmed']","['24k', 'https://app.avention.com/company/52ecd1a6-c9dc-3123-b250-42a1b1caeaff#report/company_summary']","['Delisted', 'https://www.crunchbase.com/organization/programmed']",0.0,0.25,0.375,0.0,0.15625
